"id","homeDescriptorId","name","description","sequenceOrder","difficultyStage","exampleOfSuccess","commonError","checkpointTask","isOptional","isArchived","ownerTier","icReadinessStatus","linkedDescriptorIds","reviewNotes"
"ac9e2ly04-ic01","AC9E2LY04","Decodes unfamiliar words using phonic knowledge","Student can apply phonic knowledge to sound out and read unfamiliar words in a text, blending letter sounds accurately.","1","early","Student encounters the word bright and uses knowledge of br consonant cluster and ight pattern to decode it correctly.","Student guesses the word based on the first letter only or skips the word without attempting to decode it.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly04-ic02","AC9E2LY04","Uses morphemic knowledge to read longer words","Student can identify base words, prefixes and suffixes in longer words to read them accurately.","2","early","Student reads unhappy by recognising the prefix un- and the base word happy rather than trying to sound out every letter individually.","Student attempts to phonically decode every letter of a morphemically complex word rather than breaking it into meaningful parts.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly04-ic03","AC9E2LY04","Reads with appropriate phrasing and fluency","Student can read a short passage aloud with phrasing that groups words meaningfully, at a pace that supports comprehension rather than word by word.","3","middle","Student reads a sentence in natural phrases rather than pausing after every single word, using punctuation to guide phrasing.","Student reads word by word at a slow uniform pace regardless of punctuation or phrase boundaries, making it difficult to follow the meaning.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly04-ic04","AC9E2LY04","Monitors meaning and self-corrects when reading","Student can recognise when a word they have decoded does not make sense in context, go back and re-read to self-correct.","4","middle","Student reads 'The dog chased the cat' as 'The dog cased the cat', pauses, says that doesn't sound right and re-reads to correct.","Student continues reading after an error that changes the meaning of the sentence without noticing the breakdown.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly04-ic05","AC9E2LY04","Uses multiple strategies flexibly when decoding","Student can move between phonic knowledge, morphemic knowledge, high-frequency word recognition and context clues to decode unfamiliar words efficiently.","5","late","When encountering the word knight, student tries phonics, notes the k is silent, uses context of the medieval story and prior knowledge of the spelling pattern to confirm the word.","Student applies only one strategy when decoding is difficult — always sounding out phonically — without drawing on context or morphemic knowledge when phonics alone fails.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly05-ic01","AC9E2LY05","Makes a prediction before or during reading","Student can make a prediction about what a text will contain or what will happen next, drawing on the title, cover, headings or prior knowledge.","1","early","Before reading an information text titled Why Do Leaves Change Colour? student predicts: I think it will talk about autumn and maybe about what is inside leaves that makes them change.","Student makes a prediction that is not connected to any evidence from the text or to prior knowledge — a random guess.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly05-ic02","AC9E2LY05","Identifies the main idea of a text","Student can identify the central idea or message of a short text rather than listing every detail.","2","early","After reading a short text about recycling, student says: The main idea is that recycling helps reduce rubbish and is good for the environment — not just listing each thing that can be recycled.","Student lists specific details or examples from the text rather than identifying the overarching main idea.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly05-ic03","AC9E2LY05","Makes a supportable inference from a text","Student can use information from the text combined with prior knowledge to draw a conclusion that is not directly stated.","3","middle","After reading 'Mia packed her umbrella and her gumboots before she left the house' student infers: It must be raining or about to rain — the text doesn't say that but packing those things shows it.","Student either states something directly from the text as an inference or makes an inference with no connection to text evidence.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly05-ic04","AC9E2LY05","Uses a graphic organiser to organise information from a text","Student can use a graphic organiser such as a story map, flow chart or concept web to record and organise information from a text they have read or listened to.","4","middle","After reading a narrative, student correctly completes a story map with character, setting, problem, events and resolution drawn from the text.","Student fills in a graphic organiser with random or invented details rather than information drawn from the text, or leaves key sections blank.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly05-ic05","AC9E2LY05","Predicts vocabulary likely to appear in a text","Student can predict words likely to appear in a text based on the topic and purpose before reading, then confirm or adjust those predictions.","5","middle","Before reading a text about a train journey student predicts vocabulary: station arrive platform ticket conductor — then after reading confirms which ones appeared and notes any surprises.","Student predicts vocabulary unrelated to the topic or cannot explain why those words would likely appear in that type of text.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly05-ic06","AC9E2LY05","Integrates information from print and images to build meaning","Student can combine information from the written text and accompanying images to construct a more complete understanding than either source alone provides.","6","late","Student reads a text about how a seed grows alongside a labelled diagram and explains: The words describe what happens but the diagram shows the order and where each part of the plant is — together they make it clearer.","Student treats the written text and images as separate sources rather than combining them to build a fuller understanding.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly06-ic01","AC9E2LY06","Plans a text using an appropriate structure","Student can plan a short written text by identifying the structure needed for their purpose and mapping out what will go in each part before writing.","1","early","Before writing a recount, student creates a simple plan showing: orientation (who when where), events (what happened in order), and concluding comment — and can name why each part is needed.","Student begins writing without planning or creates a plan that does not match the structure of the text type they are writing.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly06-ic02","AC9E2LY06","Sequences ideas so the reader can follow them","Student can arrange ideas or events in an order that makes sense for the reader, using connectives to signal sequence.","2","early","Student writes a recount using first then next and finally to sequence events rather than jumping between them or listing them without connectives.","Student includes all the relevant events but presents them in a jumbled order or without connectives that help the reader follow the sequence.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly06-ic03","AC9E2LY06","Uses simple and compound sentences in writing","Student can use both simple sentences and compound sentences correctly and flexibly in their writing to express and combine ideas.","3","middle","Student writes: The rain fell heavily. We ran inside quickly but Jayden forgot his bag so he had to go back. — using both simple and compound sentences.","Student uses only simple sentences throughout or uses compound sentences but always with and regardless of the relationship between the ideas.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly06-ic04","AC9E2LY06","Uses topic-specific vocabulary in written texts","Student can select vocabulary appropriate to the purpose and topic of their text rather than relying on general everyday words.","4","middle","Student writing an information report about insects uses antenna, exoskeleton, thorax and abdomen rather than feeler, shell, middle and bottom.","Student uses everyday vocabulary throughout without attempting to incorporate topic-specific words even when these have been discussed in class.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly06-ic05","AC9E2LY06","Edits writing by adding, deleting or replacing words to improve it","Student can re-read their own writing and make deliberate word-level edits — adding, deleting or replacing words — to improve meaning, precision or appropriateness.","5","late","Student re-reads their draft and changes The dog walked down the street to The old greyhound limped slowly along the footpath, explaining each change improves the picture for the reader.","Student re-reads writing but makes only surface changes such as fixing spelling without attending to word choice or how the words work together to create meaning.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly06-ic06","AC9E2LY06","Reviews writing for grammatical accuracy","Student can review their own or a peer's writing for grammatical accuracy including correct use of pronouns, tense consistency and sentence boundaries.","6","late","Student reads back their draft and notices: I wrote 'her went to the shops' — that should be 'she' because she is the subject. And all my story is in past tense but this sentence says 'she runs' so I need to change it to 'she ran'.","Student reviews writing for spelling and punctuation but does not attend to grammatical accuracy such as pronoun case, subject-verb agreement or tense consistency.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly07-ic01","AC9E2LY07","Sequences ideas appropriately in an oral presentation","Student can organise and deliver a short oral presentation with a clear beginning, middle and end that are logically ordered.","1","early","Student delivers a short talk about their weekend with an orientation, a sequence of events in order and a concluding comment, rather than jumping randomly between ideas.","Student covers the relevant content but presents ideas in a random order or without a clear sense of beginning middle and end.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly07-ic02","AC9E2LY07","Uses topic-specific vocabulary in an oral presentation","Student can use relevant topic-specific vocabulary when presenting on a content area topic rather than only everyday language.","2","early","Student presenting about the water cycle uses evaporation, condensation and precipitation rather than only everyday words like steam, clouds and rain.","Student relies entirely on everyday language even when topic-specific vocabulary has been taught and is available.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly07-ic03","AC9E2LY07","Adjusts volume and tone for a formal speaking context","Student can recognise when a more formal speaking context requires adjustments to volume and tone and can make those adjustments deliberately.","3","middle","When presenting to the class student speaks more loudly and clearly than in a casual conversation and uses a steady measured tone rather than the casual rhythm of everyday speech.","Student speaks at the same volume and pace regardless of audience size or formality of context.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly07-ic04","AC9E2LY07","Rehearses a presentation and uses feedback to improve it","Student can rehearse their presentation, receive specific feedback from a peer or teacher and make at least one improvement based on that feedback before delivering it to an audience.","4","late","After rehearsing, student receives feedback that their voice was too quiet and their ending was abrupt. Student adjusts volume and adds a concluding sentence before the final delivery.","Student rehearses but treats the practice as the final version, not acting on feedback received during rehearsal.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly08-ic01","AC9E2LY08","Holds a pencil with a functional grip","Student can hold a writing implement with a grip that allows controlled letter formation without excessive pressure or fatigue.","1","early","Student holds pencil with fingers positioned so the writing instrument can move freely and produces legible letters without pressing so hard the paper tears or the hand cramps.","Student uses a fist grip or holds the pencil so close to the tip that movement is restricted and letters are poorly formed.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly08-ic02","AC9E2LY08","Forms lower-case letters legibly using correct starting points","Student can write all lower-case letters legibly using the correct starting point and direction for each letter.","2","early","Student writes a sentence using all correctly formed lower-case letters with consistent starting points and letter heights without reversals of b/d or p/q.","Student forms most letters correctly but consistently reverses b/d or p/q or starts letters from the bottom rather than the top.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly08-ic03","AC9E2LY08","Forms upper-case letters legibly and uses them correctly","Student can write all upper-case letters legibly and use them in the correct contexts — at the start of sentences and for proper nouns.","3","middle","Student writes a sentence with a capital letter at the start and no unnecessary capitals in the middle, with all upper-case letters clearly distinguishable from lower-case.","Student uses capital letters randomly throughout writing or produces upper-case letters that are the same size as lower-case letters and cannot be distinguished.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly08-ic04","AC9E2LY08","Writes with growing fluency and consistent letter size","Student can write a short passage with letters of consistent size and spacing, maintaining legibility at a pace appropriate for the writing task.","4","late","Student completes a written task with consistent letter height, even spacing between words and legible handwriting maintained throughout the full passage rather than only at the start.","Student begins writing with good letter formation but deteriorates significantly in size consistency and legibility as the passage continues.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly09-ic01","AC9E2LY09","Blends sounds to read words with consonant clusters","Student can blend sounds in words that contain consonant clusters at the beginning or end, reading them accurately.","1","early","Student accurately reads words with initial clusters such as br in brother, cl in cloud, str in string and final clusters such as nd in hand and st in last.","Student reads consonant clusters by sounding each letter separately without blending them smoothly, resulting in a mispronunciation.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly09-ic02","AC9E2LY09","Segments spoken words into individual phonemes","Student can say each individual phoneme in a spoken word in sequence including in words with consonant clusters.","2","early","Student segments brother as b-r-o-th-er and cloudy as c-l-ou-d-y identifying each phoneme correctly including digraphs as single phonemes.","Student segments by syllable rather than by phoneme or treats a digraph as two separate phonemes.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly09-ic03","AC9E2LY09","Deletes a phoneme from a spoken word to form a new word","Student can remove a specified phoneme from a spoken word and say the resulting new word.","3","middle","Student removes the initial scr from scratch to produce atch and can then add new initial phonemes to produce catch batch and hatch.","Student deletes a whole syllable rather than a single phoneme or cannot hold the remaining sounds in memory to produce the new word.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly09-ic04","AC9E2LY09","Substitutes a medial phoneme to form a new word","Student can replace the middle sound in a spoken word with a different phoneme to produce a new word.","4","middle","Student replaces the medial vowel in stack with i to produce stick and can explain: I changed the a sound to an i sound in the middle.","Student substitutes the initial or final phoneme rather than the medial phoneme when asked to change the middle sound.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly10-ic01","AC9E2LY10","Reads words containing vowel digraphs","Student can read words that contain common vowel digraphs accurately, applying knowledge of the combined sound rather than sounding each letter individually.","1","early","Student reads feet, moon, rain, day and eat correctly applying knowledge that ee, oo, ai, ay and ea represent single vowel sounds.","Student sounds out each letter of a digraph separately producing an incorrect pronunciation such as e-e for feet.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly10-ic02","AC9E2LY10","Reads words with silent letters","Student can read words containing common silent letters accurately by recognising the pattern rather than attempting to sound every letter.","2","early","Student correctly reads knife, thumb, knock and write recognising the silent k, b and w patterns.","Student attempts to pronounce the silent letter producing k-nife or w-rite rather than recognising the silent letter pattern.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly10-ic03","AC9E2LY10","Reads and writes words with less common long vowel patterns","Student can read and write words containing less common long vowel patterns such as ight, igh, ough and recognises that these letter combinations represent predictable sounds.","3","middle","Student reads night, light and fight correctly applying the ight pattern and can write them from dictation without reverting to phonically plausible but incorrect spellings like nite.","Student applies only common short vowel patterns and cannot read or write words with less common long vowel patterns reliably.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly10-ic04","AC9E2LY10","Reads and writes compound words","Student can read and write compound words by recognising and combining the two base words that form them.","4","middle","Student reads and writes words like sunshine, rainfall, bedroom and football by identifying the two component words and understanding that compound words carry the meaning of both parts.","Student attempts to sound out a compound word phoneme by phoneme without recognising it as two combined base words.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly10-ic05","AC9E2LY10","Uses knowledge of consonant clusters in spelling","Student can spell words containing initial and final consonant clusters accurately, applying knowledge of how these clusters are represented in writing.","5","late","Student correctly spells words with initial clusters such as splash, string and bright and final clusters such as lamp, best and craft when writing from dictation.","Student spells only the most prominent consonant in a cluster, omitting one letter from blends such as writing sring for string or est for best.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly11-ic01","AC9E2LY11","Spells high-frequency words with irregular patterns","Student can read and write a set of high-frequency words whose spelling cannot be fully predicted from phonics alone.","1","early","Student correctly spells high-frequency words such as one, once, said, was, they and have from memory without needing to sound them out phonically.","Student applies phonic rules to irregular high-frequency words producing phonically plausible but incorrect spellings such as woz for was or sed for said.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly11-ic02","AC9E2LY11","Uses a known word to spell a related unknown word","Student can use knowledge of a word they can already spell to work out the spelling of a related word by applying the same pattern.","2","middle","Student uses knowledge of one to spell once and only and uses knowledge of love to help spell lovely and loveable, explaining the connection.","Student treats each new word as completely unfamiliar rather than drawing on the spelling pattern of a known related word.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly11-ic03","AC9E2LY11","Uses context to choose between plausible pronunciations","Student can use the surrounding text to identify the correct pronunciation when an unfamiliar word has more than one plausible reading.","3","late","Student reads the word read in context and correctly identifies it as past tense red rather than present tense reed by checking the surrounding sentences for tense clues.","Student reads a word with multiple plausible pronunciations and selects one without using the surrounding context to confirm which is correct.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly11-ic04","AC9E2LY11","Applies age-appropriate spelling patterns when writing","Student can apply Year 2 spelling patterns — including vowel digraphs, split digraphs, consonant clusters and common suffixes — when writing words whose spelling is not fully predictable from phonics alone.","4","middle","Student correctly spells night using the ight pattern, hoping by applying the drop-e rule, and running by applying the doubling rule, explaining the pattern used in each case.","Student applies phonic rules rigidly to all words, producing plausible but incorrect spellings such as nite for night or hopeing for hoping, not recognising that some patterns override simple phonics.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly12-ic01","AC9E2LY12","Identifies the base word in a word with a prefix or suffix","Student can identify the base word when a prefix or suffix has been added and explain what the prefix or suffix contributes to the meaning.","1","early","Student identifies friend as the base word in friendly and friendship and explains: -ly makes it describe how someone acts and -ship makes it a noun about the relationship.","Student cannot separate the prefix or suffix from the base word or identifies the entire word as the base.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly12-ic02","AC9E2LY12","Builds a morphemic word family from a known base word","Student can generate a family of related words by adding known prefixes and suffixes to a base word they can already spell.","2","middle","Starting from cover student generates covers, covered, covering, uncover, discover and covering, spelling each correctly and able to explain the role of each morpheme.","Student generates words that sound related but are not morphemically connected or misspells the base word when affixes are added.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly12-ic03","AC9E2LY12","Uses morphemic knowledge to spell an unknown word","Student can use knowledge of a base word and how prefixes and suffixes work to attempt the spelling of a new word they have not previously written.","3","late","When asked to spell friendship, student explains: I know friend and I know -ship makes something a noun about a relationship. So I spell friend then add ship — friendship.","Student spells each new word as an unconnected entity rather than breaking it into known morphemic parts to construct the spelling.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly12-ic04","AC9E2LY12","Uses morphemic knowledge to decode unfamiliar words when reading","Student can identify base words, prefixes and suffixes in unfamiliar words encountered while reading and use that morphemic knowledge to work out meaning and pronunciation.","4","middle","Student encounters unhelpful while reading, identifies un- as a prefix meaning not, help as the base and -ful as a suffix meaning full of, and correctly reads and explains: unhelpful means not full of help.","Student attempts to decode a morphemically complex word entirely by phonics rather than breaking it into meaningful parts, struggling with the pronunciation and having no strategy for working out the meaning.","N","FALSE","FALSE","system_default","active","",""
