Year level,Strand,Content code,Content description,Elaboration,Linked Achievement IDs,descriptor_type
Foundation,Number,AC9MFN05,"represent practical situations involving addition, subtraction and quantification with physical and virtual materials and use counting or subitising strategies","representing addition and subtraction situations found in leaf games involving sets of objects used to tell stories, such as games from the Warlpiri Peoples of Yuendumu in the Northern Territory","P-AS-09, P-AS-11",knowledge
Foundation,Number,AC9MFN06,represent practical situations involving equal sharing and grouping with physical and virtual materials and use counting or subitising strategies,"using materials to role-play equal sharing; for example, sharing pieces of fruit or a bunch of grapes between 4 people and discussing how you would know they have been shared equally; when playing card games where each player is dealt the same number of cards, and counting the number of cards after the deal to ensure they have the same amount",P-AS-09,knowledge
Foundation,Number,AC9MFN06,represent practical situations involving equal sharing and grouping with physical and virtual materials and use counting or subitising strategies,"representing situations that involve counting several items; for example, 9 beads or 6 $1 coins, and sharing them equally between 3 people by subitising or counting each group by ones to decide how many beads or coins each person will receive",P-AS-09,knowledge
Foundation,Number,AC9MFN06,represent practical situations involving equal sharing and grouping with physical and virtual materials and use counting or subitising strategies,"exploring instructive games of First Nations Australians that involve sharing; for example, playing Yangamini of the Tiwi Peoples of Bathurst Island to investigate and discuss equal sharing",P-AS-09,knowledge
Foundation,Algebra,AC9MFA01,"recognise, copy and continue repeating patterns represented in different ways","recognising, copying and describing different repeating patterns using materials, shapes, sounds and movements during activities and play; for example, making a bead necklace and describing the pattern they have created, such as, “red, blue, green, red, blue, green, red, blue, green”; copying repeating patterns of drumbeats or dance moves during music activities",P-AS-04,knowledge
Foundation,Algebra,AC9MFA01,"recognise, copy and continue repeating patterns represented in different ways","recognising repeating patterns used at home and in daily activities to help make tasks easier or to solve problems; for example, setting the table to eat",P-AS-04,knowledge
Foundation,Algebra,AC9MFA01,"recognise, copy and continue repeating patterns represented in different ways","recognising and describing repeating patterns that can be observed on Country/Place and in First Nation Australians artwork, cultural performances and material cultures; for example, shell and seed necklaces, dances and songs",P-AS-04,knowledge
Foundation,Measurement,AC9MFM01,"identify and compare attributes of objects and events, including length, capacity, mass and duration, using direct comparisons and communicating reasoning","using language to describe the measurement attributes of length, mass, capacity and duration, and connecting the words with the appropriate attribute; for example, using words like “tall”, “short”, “wide”, “long”, “high” to describe the attribute of length",P-AS-06,knowledge
Foundation,Measurement,AC9MFM01,"identify and compare attributes of objects and events, including length, capacity, mass and duration, using direct comparisons and communicating reasoning","directly comparing pairs of objects to say which is longer/shorter, and explaining or demonstrating how they know; for example, standing back-to-back to determine who is taller; choosing to line up the bases of a spoon and fork to decide which is longer and explaining why",P-AS-06,knowledge
Foundation,Measurement,AC9MFM01,"identify and compare attributes of objects and events, including length, capacity, mass and duration, using direct comparisons and communicating reasoning","starting 2 events at the same time to decide which takes longer; for example, putting on a pair of sandals with buckles or Velcro, describing the duration using familiar terms and reasoning, “I took a longer time because I’m still learning to do up my buckles”",P-AS-06,knowledge
Foundation,Measurement,AC9MFM01,"identify and compare attributes of objects and events, including length, capacity, mass and duration, using direct comparisons and communicating reasoning","directly comparing pairs of everyday objects from the kitchen pantry to say which is heavier/lighter; for example, hefting a tin of baked beans and a packet of marshmallows; comparing the same pair of objects to say which is longer/shorter and discussing comparisons",P-AS-06,knowledge
Foundation,Measurement,AC9MFM02,"sequence days of the week and times of the day including morning, lunchtime, afternoon and night time, and connect them to familiar events and actions","ordering images of daily events on a string line across the room, and justifying the placement by referring to morning, lunchtime, afternoon, and night time",P-AS-10,knowledge
Foundation,Measurement,AC9MFM02,"sequence days of the week and times of the day including morning, lunchtime, afternoon and night time, and connect them to familiar events and actions","distinguishing between the days of the school week and weekends, and recognising that the days of the week form a sequence that repeats, with Monday always following on from Sunday",P-AS-10,knowledge
Foundation,Measurement,AC9MFM02,"sequence days of the week and times of the day including morning, lunchtime, afternoon and night time, and connect them to familiar events and actions","sequencing the events from a story in the order in which they occurred using language like, “This happened first” then “This happened next”",P-AS-10,knowledge
Foundation,Measurement,AC9MFM02,"sequence days of the week and times of the day including morning, lunchtime, afternoon and night time, and connect them to familiar events and actions","creating, interpreting and discussing classroom rosters; for example, a roster for watering the classroom garden and asking, “Who watered the garden yesterday?” or “Whose turn is it today?”",P-AS-10,knowledge
Foundation,Measurement,AC9MFM02,"sequence days of the week and times of the day including morning, lunchtime, afternoon and night time, and connect them to familiar events and actions",creating a pictorial diary to show the important events that happen on the various days of the week,P-AS-10,knowledge
Foundation,Space,AC9MFSP01,"sort, name and create familiar shapes; recognise and describe familiar shapes within objects in the environment, giving reasons","sorting a collection of shapes into groups based on different features such as the number of sides, colour or size, and describing how they have been sorted",P-AS-07,knowledge
Foundation,Space,AC9MFSP01,"sort, name and create familiar shapes; recognise and describe familiar shapes within objects in the environment, giving reasons","creating a picture using a variety of shapes and a range of materials, including objects to trace around, describing the shapes they have created or used and sharing why they chose each shape in their picture",P-AS-07,knowledge
Foundation,Space,AC9MFSP01,"sort, name and create familiar shapes; recognise and describe familiar shapes within objects in the environment, giving reasons","creating familiar shapes using groups of people; for example, holding hands and creating a circle",P-AS-07,knowledge
Foundation,Space,AC9MFSP01,"sort, name and create familiar shapes; recognise and describe familiar shapes within objects in the environment, giving reasons","recognising and naming shapes that are (close to) rectangles, squares, triangles and circles in component parts of everyday items; for example, on bicycles, toy vehicles or kitchen pantry items",P-AS-07,knowledge
Foundation,Space,AC9MFSP01,"sort, name and create familiar shapes; recognise and describe familiar shapes within objects in the environment, giving reasons","describing and naming shapes within objects that can be observed on Country/Place, recreating and sorting into groups based on their shape",P-AS-07,knowledge
Foundation,Space,AC9MFSP02,describe the position and location of themselves and objects in relation to other people and objects within a familiar space,"describing the position of an item in relation to other items in the space using language like “inside”, “underneath” and “on top of”; for example, when asked “Where are the scissors kept?”, responding with “They are in a box, on the bottom shelf at the back of the classroom”",P-AS-05,knowledge
Foundation,Space,AC9MFSP02,describe the position and location of themselves and objects in relation to other people and objects within a familiar space,"describing where they have moved themselves and items in relation to other items within a space, using familiar terms; for example, playing a hiding game and when asked “Where did you hide the ball?”, responding, “I hid it behind the garbage bin over there near the bench”",P-AS-05,knowledge
Foundation,Space,AC9MFSP02,describe the position and location of themselves and objects in relation to other people and objects within a familiar space,"exploring First Nations Australians’ instructive games; for example, Thapumpan from the Wik-Mungkan Peoples of Cape Bedford in north Queensland, describing position and movement of self in relation to other participants, objects or locations",P-AS-05,knowledge
Foundation,Statistics,AC9MFST01,"collect, sort and compare data represented by objects and images in response to given investigative questions that relate to familiar situations","collecting, and sorting data collected through everyday activities or events; for example, sorting toys into categories, such as “toys that move” and “toys that don’t move”",P-AS-02,knowledge
Foundation,Statistics,AC9MFST01,"collect, sort and compare data represented by objects and images in response to given investigative questions that relate to familiar situations","collecting and deciding how to organise data to answer “Yes/No” questions; for example, “Do more people in our class today have shoes with laces than without?”; explaining that lining up, and matching shoes with and without laces one-to-one will answer the question",P-AS-02,knowledge
Foundation,Statistics,AC9MFST01,"collect, sort and compare data represented by objects and images in response to given investigative questions that relate to familiar situations",creating classroom charts and rosters using stickers to represent data; comparing and interpreting representations,P-AS-02,knowledge
Foundation,Statistics,AC9MFST01,"collect, sort and compare data represented by objects and images in response to given investigative questions that relate to familiar situations","investigating statistical contexts after reading a story, such as “The Waterhole” by Graeme Base; asking and responding to questions like “What different animals did you see?”, “How many different types of animals were there?” or “Were there more tigers or kangaroos?”",P-AS-02,knowledge
Foundation,Statistics,AC9MFST01,"collect, sort and compare data represented by objects and images in response to given investigative questions that relate to familiar situations",exploring what and how information from the environment is collected and used by First Nations Australians to predict weather events,P-AS-02,knowledge
Year 1,Number,AC9M1N01,"recognise, represent and order numbers to at least 120 using physical and virtual materials, numerals, number lines and charts","reading, writing and naming numerals and ordering two-digit numbers from zero to at least 120, using patterns within the natural number system, including numbers that look and sound similar; for example, 16, 60, 61 and 66",Y1-AS-01,knowledge
Year 1,Number,AC9M1N01,"recognise, represent and order numbers to at least 120 using physical and virtual materials, numerals, number lines and charts",using number tracks or positioning a set of numbered cards in the correct order and relative location by pegging on an empty number line,Y1-AS-01,knowledge
Year 1,Number,AC9M1N01,"recognise, represent and order numbers to at least 120 using physical and virtual materials, numerals, number lines and charts","using hundreds charts to build understanding and fluency with numbers; for example, collaboratively building a hundreds chart using cards numbered from zero to 99; colour code the count of tens in a hundreds chart using one colour to represent the number of tens and another to represent the number of ones",Y1-AS-01,knowledge
Year 1,Number,AC9M1N01,"recognise, represent and order numbers to at least 120 using physical and virtual materials, numerals, number lines and charts","recognising that numbers are used in all languages and cultures but may be represented differently in words and symbols; for example, through kanji numbers in Japanese and characters in Chinese, and that there are alternate numeration systems; for example, using special characters for 10 and 100 and other multiples of 10 in Japanese and Chinese numeration",Y1-AS-01,knowledge
Year 1,Number,AC9M1N02,"partition one- and two-digit numbers in different ways using physical and virtual materials, including partitioning two-digit numbers into tens and ones","building knowledge and understanding of the part-part-whole facts to 10, using physical and virtual materials; for example, using virtual ten-frames through a digital app or website to identify pairs of numbers that combine to make 10",Y1-AS-04,knowledge
Year 1,Number,AC9M1N02,"partition one- and two-digit numbers in different ways using physical and virtual materials, including partitioning two-digit numbers into tens and ones","using physical and virtual materials to partition numbers into counts of tens and ones; for example, recognise 35 as 3 tens and 5 ones or as 2 tens and 15 ones",Y1-AS-04,knowledge
Year 1,Number,AC9M1N02,"partition one- and two-digit numbers in different ways using physical and virtual materials, including partitioning two-digit numbers into tens and ones","using part-part-whole reasoning and physical or virtual materials to represent 24, then partitioning 24 in different ways and recording the partitions using numbers; for example, 10, 10 and 4 combine to make 24 or 10 and 14 combine to make 24",Y1-AS-04,knowledge
Year 1,Number,AC9M1N03,"quantify sets of objects, to at least 120, by partitioning collections into equal groups using number knowledge and skip counting",counting a large collection of items using groups of fives or tens and skip counting to work out how many there are; recording the amount and connecting the digits in the number to the grouped materials when using groups of 10,Y1-AS-08,knowledge
Year 1,Number,AC9M1N03,"quantify sets of objects, to at least 120, by partitioning collections into equal groups using number knowledge and skip counting","counting collections of objects such as pencils or images of birds in a tree, by grouping them in tens to enable efficient counting and connecting the digits in the number to the groups of tens and ones",Y1-AS-08,knowledge
Year 1,Number,AC9M1N03,"quantify sets of objects, to at least 120, by partitioning collections into equal groups using number knowledge and skip counting","counting a large collection of Australian $1 coins by stacking them into piles of 10, skip counting in tens and including any leftover coins to determine the total value",Y1-AS-08,knowledge
Year 1,Number,AC9M1N03,"quantify sets of objects, to at least 120, by partitioning collections into equal groups using number knowledge and skip counting","using drawings, physical and virtual materials and number combinations within 10 to add and subtract collections to 20",Y1-AS-08,knowledge
Year 1,Number,AC9M1N03,"quantify sets of objects, to at least 120, by partitioning collections into equal groups using number knowledge and skip counting","adding and subtracting numbers within 20, using a variety of representations and strategies such as counting on, counting back, partitioning and part-part-whole knowledge of numbers to 10; for example, using partitioning and combining 7 + 5 = 7 + 3 + 2 = 10 + 2 = 12",Y1-AS-08,knowledge
Year 1,Number,AC9M1N03,"quantify sets of objects, to at least 120, by partitioning collections into equal groups using number knowledge and skip counting","developing and using strategies for one-digit addition and subtraction based on part-part-whole relationships for each of the numbers to 10 and subitising with physical and virtual materials; for example, 8 and 6 is the same as 8 and 2 and 4",Y1-AS-08,knowledge
Year 1,Number,AC9M1N03,"quantify sets of objects, to at least 120, by partitioning collections into equal groups using number knowledge and skip counting","representing story problems involving addition and subtraction of numbers within 20 using a Think Board, recognising and using + and − symbols and the equal sign to represent the operations of addition and subtraction; showing and explaining the connections between any materials used using the language of plus and minus, and the numbers within the story problem",Y1-AS-08,knowledge
Year 1,Number,AC9M1N03,"quantify sets of objects, to at least 120, by partitioning collections into equal groups using number knowledge and skip counting",creating and performing addition and subtraction stories told through First Nations Australians’ dances,Y1-AS-08,knowledge
Year 1,Number,AC9M1N05,"use mathematical modelling to solve practical problems involving additive situations, including simple money transactions; represent the situations with diagrams, physical and virtual materials, and use calculation strategies to solve the problem","modelling problems involving addition and subtraction presented in stories, using a Think Board to represent the problem, solving the problem using physical materials and explaining the connections between any materials used, the Think Board diagram and the numbers within the story",Y1-AS-09,knowledge
Year 1,Number,AC9M1N05,"use mathematical modelling to solve practical problems involving additive situations, including simple money transactions; represent the situations with diagrams, physical and virtual materials, and use calculation strategies to solve the problem","modelling simple money problems involving addition and subtraction using whole dollar amounts; for example, setting up a shop and role-playing practical problems of buying and selling of goods, using addition and subtraction with play money and prices in whole dollar amounts; solving the problem “I had $14 and was given $15 for my birthday” using addition to answer the problem",Y1-AS-09,knowledge
Year 1,Number,AC9M1N05,"use mathematical modelling to solve practical problems involving additive situations, including simple money transactions; represent the situations with diagrams, physical and virtual materials, and use calculation strategies to solve the problem","modelling a variety of different additive situations to solve practical problems; for example, keeping track of the number of people on a bus as it stops to pick up and drop off passengers or the number of people entering a lift",Y1-AS-09,knowledge
Year 1,Number,AC9M1N06,"use mathematical modelling to solve practical problems involving equal sharing and grouping; represent the situations with diagrams, physical and virtual materials, and use calculation strategies to solve the problem","modelling problems involving repeated equal group situations, such as, “How many wheels are needed for 3 cars?”, using materials and drawing a picture to show what they did, and recording the results with a number",Y1-AS-09,knowledge
Year 1,Number,AC9M1N06,"use mathematical modelling to solve practical problems involving equal sharing and grouping; represent the situations with diagrams, physical and virtual materials, and use calculation strategies to solve the problem","modelling practical problems involving equal sharing situations; for example, sharing a set of dominoes between the 2 players in a game, and then counting or subitising to ensure they both have the same number of tiles",Y1-AS-09,knowledge
Year 1,Number,AC9M1N06,"use mathematical modelling to solve practical problems involving equal sharing and grouping; represent the situations with diagrams, physical and virtual materials, and use calculation strategies to solve the problem","modelling money problems involving equal sharing; for example, sorting coins from a money box according to their denominations, sharing the coins equally between 4 people, and using counting or subitising to ensure they have equal amounts of each denomination",Y1-AS-09,knowledge
Year 1,Algebra,AC9M1A01,"recognise, continue and create pattern sequences, with numbers, symbols, shapes and objects, formed by skip counting, initially by twos, fives and tens","using number charts, songs, rhymes and stories to establish skip counting sequences of twos, fives and tens",Y1-AS-10,knowledge
Year 1,Algebra,AC9M1A01,"recognise, continue and create pattern sequences, with numbers, symbols, shapes and objects, formed by skip counting, initially by twos, fives and tens","using shapes and objects to represent a growing pattern formed by skip counting; for example, using blocks or beads to represent the growing patterns 2, 4, 6, 8, 10 … and 5, 10, 15, 20 …",Y1-AS-10,knowledge
Year 1,Algebra,AC9M1A01,"recognise, continue and create pattern sequences, with numbers, symbols, shapes and objects, formed by skip counting, initially by twos, fives and tens","recognising the patterns in sequences formed by skip counting; for example, that skip counting in fives starting from zero always results in either a 5 or zero as the final digit",Y1-AS-10,knowledge
Year 1,Algebra,AC9M1A01,"recognise, continue and create pattern sequences, with numbers, symbols, shapes and objects, formed by skip counting, initially by twos, fives and tens","counting by twos, fives, or tens to determine how much money is in a collection of coins or notes of the same denomination; for example, 5 cent, 10 cent and $2 coins or $5 and $10 notes",Y1-AS-10,knowledge
Year 1,Algebra,AC9M1A01,"recognise, continue and create pattern sequences, with numbers, symbols, shapes and objects, formed by skip counting, initially by twos, fives and tens",using different variations of the popular Korean counting game Sam-yuk-gu for generating skip counting pattern sequences,Y1-AS-10,knowledge
Year 1,Algebra,AC9M1A02,"recognise, continue and create repeating patterns with numbers, symbols, shapes and objects, identifying the repeating unit","interpreting a repeating pattern sequence created by someone else, noticing and describing the repeating part of the pattern and explaining how they know what comes next in the sequence",Y1-AS-10,knowledge
Year 1,Algebra,AC9M1A02,"recognise, continue and create repeating patterns with numbers, symbols, shapes and objects, identifying the repeating unit","generalising a repeating pattern by identifying the unit of repeat and representing the elements using numbers, letters or symbols; for example, representing the repeating pattern of stamp, stamp, clap, stamp clap, stamp, stamp, clap, stamp, clap as SSCSC SSCSC SSCSC... recognising the elements that are repeating, describing the unit of repeat as SSCSC and continuing the pattern",Y1-AS-10,knowledge
Year 1,Algebra,AC9M1A02,"recognise, continue and create repeating patterns with numbers, symbols, shapes and objects, identifying the repeating unit",recognising within the sequencing of natural numbers that 0 – 9 digits are repeated both in and between the decades and using this pattern to continue the sequence and name two-digit numbers beyond 20,Y1-AS-10,knowledge
Year 1,Algebra,AC9M1A02,"recognise, continue and create repeating patterns with numbers, symbols, shapes and objects, identifying the repeating unit","identifying the repeating patterns in First Nations Australians’ systems of counting, exploring different ways of representing numbers including oral and gestural language",Y1-AS-10,knowledge
Year 1,Algebra,AC9M1A02,"recognise, continue and create repeating patterns with numbers, symbols, shapes and objects, identifying the repeating unit","considering how the making of shell or seed necklaces by First Nations Australians includes practices such as sorting shells and beads based on colour, size and shape, and creating a repeating pattern sequence",Y1-AS-10,knowledge
Year 1,Measurement,AC9M1M01,"compare directly and indirectly and order objects and events using attributes of length, mass, capacity and duration, communicating reasoning","using a piece of string to indirectly compare the length of several objects, deciding which will fit within a space; using comparative language to describe the order: shortest, short, longer, longest",Y1-AS-03,knowledge
Year 1,Measurement,AC9M1M01,"compare directly and indirectly and order objects and events using attributes of length, mass, capacity and duration, communicating reasoning","ordering the mass of 3 or more objects such as rocks, using hefting and balance scales; using comparative language to explain the order: lightest, light, heavier, heaviest, and how they decided on the order",Y1-AS-03,knowledge
Year 1,Measurement,AC9M1M01,"compare directly and indirectly and order objects and events using attributes of length, mass, capacity and duration, communicating reasoning","pouring sand/rice/water from one container to another to compare and order the capacity of 3 or more containers; describing the order of the results in terms of which holds the most/least, and those in between",Y1-AS-03,knowledge
Year 1,Measurement,AC9M1M01,"compare directly and indirectly and order objects and events using attributes of length, mass, capacity and duration, communicating reasoning",creating sand timers from everyday items or recycled material and comparing them to order the duration of time required for the sand to run through,Y1-AS-03,knowledge
Year 1,Measurement,AC9M1M01,"compare directly and indirectly and order objects and events using attributes of length, mass, capacity and duration, communicating reasoning","investigating situations where First Nations Australians estimate, compare and communicate measurements; for example, the duration of seasons; understanding animal behaviour using the length of animal tracks; investigating capacity through water management techniques of First Nations Australians, such as traditional water carrying vessels and rock holes",Y1-AS-03,knowledge
Year 1,Measurement,AC9M1M02,"measure the length of shapes and objects using informal units, recognising that units need to be uniform and used end-to-end","using 2 different units; for example, pop sticks and pencils, to measure the length of an object such as a desk, and explaining why the number of units used may be different",Y1-AS-07,knowledge
Year 1,Measurement,AC9M1M02,"measure the length of shapes and objects using informal units, recognising that units need to be uniform and used end-to-end",comparing the length of 2 objects such as a desk and a bookshelf by laying multiple copies of a unit and counting to say which is longer and how much longer; explaining why they shouldn’t have gaps or overlaps between the units as this will change the length of the unit,Y1-AS-07,knowledge
Year 1,Measurement,AC9M1M02,"measure the length of shapes and objects using informal units, recognising that units need to be uniform and used end-to-end","measuring the distance between 2 locations using footsteps, comparing the results and explaining why there may be different results; for example, referring to the different length of footsteps as using different units",Y1-AS-07,knowledge
Year 1,Measurement,AC9M1M02,"measure the length of shapes and objects using informal units, recognising that units need to be uniform and used end-to-end","measuring and comparing the length of objects using blocks; for example, comparing the height of 2 toys by stacking blocks one on top of the other and counting how many it takes to reach the height of each object to decide which is taller",Y1-AS-07,knowledge
Year 1,Measurement,AC9M1M03,"describe the duration and sequence of events using years, months, weeks, days and hours","naming, listing and using familiar units of time, such as hours, days, weeks, years,",,knowledge
Year 1,Measurement,AC9M1M03,"describe the duration and sequence of events using years, months, weeks, days and hours",comparing the number of days in the months of the year and explaining how the months cycle from one year to the next,,knowledge
Year 1,Measurement,AC9M1M03,"describe the duration and sequence of events using years, months, weeks, days and hours",sequencing familiar events including the representation of time with pictorial timelines,,knowledge
Year 1,Measurement,AC9M1M03,"describe the duration and sequence of events using years, months, weeks, days and hours","discussing events and activities and deciding whether they would take closer to an hour, a day, a week, a month or a year; for example, it takes a day for the sun to rise and fall and rise again, but it takes less than an hour for me to walk to school",,knowledge
Year 1,Measurement,AC9M1M03,"describe the duration and sequence of events using years, months, weeks, days and hours",investigating durations of time represented in First Nations Australians’ seasonal calendars,,knowledge
Year 1,Space,AC9M1SP01,"make, compare and classify familiar shapes; recognise familiar shapes and objects in the environment, identifying the similarities and differences between them","classifying a collection of shapes, including different circles, ovals, regular and irregular shapes, triangles and quadrilaterals, saying what is the same about the shapes in a group and what is different between the groups",Y1-AS-06,knowledge
Year 1,Space,AC9M1SP01,"make, compare and classify familiar shapes; recognise familiar shapes and objects in the environment, identifying the similarities and differences between them","selecting a shape from a small collection of shapes inside a bag and describing the shape by feel, so that others can name the shape and give reasons for their choice",Y1-AS-06,knowledge
Year 1,Space,AC9M1SP01,"make, compare and classify familiar shapes; recognise familiar shapes and objects in the environment, identifying the similarities and differences between them",comparing the different objects that can be built out of the same number of blocks or centi-cubes and discussing the differences between them,Y1-AS-06,knowledge
Year 1,Space,AC9M1SP01,"make, compare and classify familiar shapes; recognise familiar shapes and objects in the environment, identifying the similarities and differences between them","exploring string games used in story telling by First Nations Australians; for example, Karda from the Yandruwandha Peoples of north-east South Australia, recognising, comparing, describing and classifying the shapes made by the string and their relationship to shapes and objects on Country/Place",Y1-AS-06,knowledge
Year 1,Space,AC9M1SP02,give and follow directions to move people and objects to different locations within a space,"interpreting and following directions around familiar locations, and understanding the meaning and importance of the words when giving directions; for example, using words like “forwards” and “backwards”, “straight ahead”, “left or right” to describe movement and giving instructions like “Keep going straight until you reach the end of this passage and then turn to your right”",,knowledge
Year 1,Space,AC9M1SP02,give and follow directions to move people and objects to different locations within a space,"creating and following an algorithm consisting of a set of instructions to move an object to a different location; for example, role-playing being a robot and following step-by-step instructions given by another classmate to move from one place to another, only moving as instructed",,knowledge
Year 1,Space,AC9M1SP02,give and follow directions to move people and objects to different locations within a space,"following directions to move people into different positions within a line using both ordinal and positional language to describe their position; for example, directly comparing heights and following directions using ordinal and positional language to line up in height order",,knowledge
Year 1,Space,AC9M1SP02,give and follow directions to move people and objects to different locations within a space,describing a familiar journey across Country/Place using directional language,,knowledge
Year 1,Statistics,AC9M1ST01,"acquire and record data for categorical variables in various ways including using digital tools, objects, images, drawings, lists, tally marks and symbols","discussing methods of collecting data to answer a question, such as “What types of rubbish are found in the playground?”, sharing ideas and trying out some of the suggested methods; reviewing the data collected and explaining how they might change the way they collect data next time",Y1-AS-02,knowledge
Year 1,Statistics,AC9M1ST01,"acquire and record data for categorical variables in various ways including using digital tools, objects, images, drawings, lists, tally marks and symbols","collecting and recording information on a topic of interest using lists; for example, “how many people follow a particular football team” or “what colour eyes each person has”; examining the data, to generate some questions that it could answer, then rearranging the data or collecting different data to answer the question",Y1-AS-02,knowledge
