Code,Subject,Year Level,Strand,Descriptor,elaborations
AC9MFSP02,Mathematics,Foundation,Space,describe the position and location of themselves and objects in relation to other people and objects within a familiar space,"describing the position of an item in relation to other items using language like 'inside', 'underneath' and 'on top of' | describing where they have moved themselves and items in relation to other items within a space | exploring First Nations Australians' instructive games involving position and movement"
AC9MFST01,Mathematics,Foundation,Statistics,"collect, sort and compare data represented by objects and images in response to given investigative questions that relate to familiar situations",collecting and sorting data collected through everyday activities or events | collecting and deciding how to organise data to answer 'Yes/No' questions | creating classroom charts and rosters using stickers to represent data | investigating statistical contexts after reading a story
AC9M1N01,Mathematics,Year 1,Number,"recognise, represent and order numbers to at least 120 using physical and virtual materials, numerals, number lines and charts","reading, writing and naming numerals and ordering two-digit numbers from zero to at least 120 | using number tracks or positioning a set of numbered cards in the correct order | using hundreds charts to build understanding and fluency with numbers | recognising that numbers are used in all languages and cultures but may be represented differently"
AC9M1N02,Mathematics,Year 1,Number,"partition one- and two-digit numbers in different ways using physical and virtual materials, including partitioning two-digit numbers into tens and ones","building knowledge and understanding of the part-part-whole facts to 10 | using physical and virtual materials to partition numbers into counts of tens and ones | using part-part-whole reasoning and physical or virtual materials to represent 24, then partitioning 24 in different ways"
AC9M1N03,Mathematics,Year 1,Number,"quantify sets of objects, to at least 120, by partitioning collections into equal groups using number knowledge and skip counting",counting a large collection of items using groups of fives or tens and skip counting | counting collections of objects by grouping them in tens | counting a large collection of Australian $1 coins by stacking them into piles of 10
AC9M1N04,Mathematics,Year 1,Number,"add and subtract numbers within 20, using physical and virtual materials, part-part-whole knowledge to 10 and a variety of calculation strategies","using drawings, physical and virtual materials and number combinations within 10 to add and subtract collections to 20 | adding and subtracting numbers within 20 using strategies such as counting on, counting back, partitioning and part-part-whole knowledge | developing and using strategies for one-digit addition and subtraction based on part-part-whole relationships"
AC9M1N05,Mathematics,Year 1,Number,"use mathematical modelling to solve practical problems involving additive situations, including simple money transactions; represent the situations with diagrams, physical and virtual materials, and use calculation strategies to solve the problem",modelling problems involving addition and subtraction presented in stories | modelling simple money problems involving addition and subtraction using whole dollar amounts | modelling a variety of different additive situations to solve practical problems
AC9M1N06,Mathematics,Year 1,Number,"use mathematical modelling to solve practical problems involving equal sharing and grouping; represent the situations with diagrams, physical and virtual materials, and use calculation strategies to solve the problem",modelling problems involving repeated equal group situations | modelling practical problems involving equal sharing situations | modelling money problems involving equal sharing
AC9M1A01,Mathematics,Year 1,Algebra,"recognise, continue and create pattern sequences, with numbers, symbols, shapes and objects, formed by skip counting, initially by twos, fives and tens","using number charts, songs, rhymes and stories to establish skip counting sequences | using shapes and objects to represent a growing pattern formed by skip counting | recognising the patterns in sequences formed by skip counting"
AC9M1A02,Mathematics,Year 1,Algebra,"recognise, continue and create repeating patterns with numbers, symbols, shapes and objects, identifying the repeating unit",interpreting a repeating pattern sequence created by someone else | generalising a repeating pattern by identifying the unit of repeat | recognising within the sequencing of natural numbers that 0-9 digits are repeated both in and between the decades
AC9M1M01,Mathematics,Year 1,Measurement,"compare directly and indirectly and order objects and events using attributes of length, mass, capacity and duration, communicating reasoning",using a piece of string to indirectly compare the length of several objects | ordering the mass of 3 or more objects using hefting and balance scales | pouring sand/rice/water from one container to another to compare and order the capacity of 3 or more containers | creating sand timers and comparing the duration of time
AC9M1M02,Mathematics,Year 1,Measurement,"measure the length of shapes and objects using informal units, recognising that units need to be uniform and used end-to-end",using 2 different units to measure the length of an object and explaining why the number of units used may be different | comparing the length of 2 objects by laying multiple copies of a unit and counting | measuring the distance between 2 locations using footsteps
AC9M1M03,Mathematics,Year 1,Measurement,"describe the duration and sequence of events using years, months, weeks, days and hours","naming, listing and using familiar units of time such as hours, days, weeks, years | sequencing familiar events including the representation of time with pictorial timelines | discussing events and deciding whether they would take closer to an hour, a day, a week, a month or a year"
AC9M1SP01,Mathematics,Year 1,Space,"make, compare and classify familiar shapes; recognise familiar shapes and objects in the environment, identifying the similarities and differences between them","classifying a collection of shapes including different circles, ovals, regular and irregular shapes, triangles and quadrilaterals | selecting a shape from inside a bag and describing it by feel | comparing the different objects that can be built out of the same number of blocks"
AC9M1SP02,Mathematics,Year 1,Space,give and follow directions to move people and objects to different locations within a space,"interpreting and following directions around familiar locations using words like 'forwards' and 'backwards', 'left or right' | creating and following an algorithm consisting of a set of instructions to move an object | following directions to move people into different positions within a line using ordinal and positional language"
AC9M1ST01,Mathematics,Year 1,Statistics,"acquire and record data for categorical variables in various ways including using digital tools, objects, images, drawings, lists, tally marks and symbols",discussing methods of collecting data to answer a question | collecting and recording information on a topic of interest using lists | creating a tally to record data while observing events
AC9M1ST02,Mathematics,Year 1,Statistics,represent collected data for a categorical variable using one-to-one displays and digital tools where appropriate; compare the data using frequencies and discuss the findings,creating a pictograph with objects or drawings | translating data from a list or pictorial display into a tally chart | representing data with objects and drawings where one object or drawing represents one data value
AC9M2N01,Mathematics,Year 2,Number,"recognise, represent and order numbers to at least 1000 using physical and virtual materials, numerals and number lines","recognising missing numbers on different number lines | recognising and locating the position of pieces within hundreds chart puzzles using knowledge of the order of natural numbers | reading and writing numerals, and saying and ordering two-, three- and four-digit numbers using patterns in the number system | collecting large quantities of materials for recycling and grouping them into ones, tens and hundreds"
AC9M2N02,Mathematics,Year 2,Number,"partition, rearrange, regroup and rename two- and three-digit numbers using standard and non-standard groupings; recognise the role of a zero digit in place value notation","comparing the digits of a number with materials grouped into hundreds, tens and ones, and explaining the meaning of each of the digits | renaming numbers in different ways using knowledge of place value; for example, renaming 245 as 24 tens and 5 ones or 2 hundreds and 45 ones"
AC9M2N03,Mathematics,Year 2,Number,"recognise and describe one-half as one of 2 equal parts of a whole and connect halves, quarters and eighths through repeated halving","creating halves of a range of collections by sharing collections into 2 equal groups | creating halves using measurement attributes | using repeated halving to subdivide shapes and objects to make corresponding halves, quarters and eighths | dividing a shape into equal parts and relating the number of parts to the unit fraction"
AC9M2N04,Mathematics,Year 2,Number,"add and subtract one- and two-digit numbers, representing problems using number sentences and solve using part-part-whole reasoning and a variety of calculation strategies","using the associative property of addition to assist with mental calculation by partitioning, rearranging and regrouping numbers | using strategies such as doubles, near doubles, part-part-whole knowledge, bridging tens and partitioning to mentally solve problems involving two-digit numbers | representing addition and subtraction problems using a bar model and writing a number sentence"
AC9M2N05,Mathematics,Year 2,Number,"multiply and divide by one-digit numbers using repeated addition, equal grouping, arrays, and partitioning to support a variety of calculation strategies",making and naming arrays and using bar models to solve simple multiplication or sharing problems | finding the total number represented in an array by partitioning the array using subitising and number facts | recognising problems that can be solved using division and identifying the difference between dividing a set of objects into groups and dividing into groups of a given size
AC9M2N06,Mathematics,Year 2,Number,"use mathematical modelling to solve practical problems involving additive and multiplicative situations, including money transactions; represent situations and choose calculation strategies; interpret and communicate solutions in terms of the situation",modelling practical problems by interpreting an everyday additive or multiplicative situation | modelling and solving simple money problems involving whole dollar amounts | modelling and solving practical problems such as deciding how many people should be in each team for a game | modelling and solving the problem 'How many days are there left in this year?' using a calendar
AC9M2A01,Mathematics,Year 2,Algebra,"recognise, describe and create additive patterns that increase or decrease by a constant amount, using numbers, shapes and objects, and identify missing elements in the pattern","creating a pattern sequence with materials, writing the associated number sequence, and then describing the sequence so someone else can replicate it | recognising patterns in the built environment to locate additive pattern sequences | recognising the constant term being added or subtracted in an additive pattern and using it to identify missing elements"
AC9M2A02,Mathematics,Year 2,Algebra,recall and demonstrate proficiency with addition facts to 20; extend and apply facts to develop related subtraction facts,"using ten-frames or materials to develop and record addition and subtraction strategies including doubles, near doubles, counting on, combinations to 10 and bridging to 10 | partitioning and rearranging collections to practice and develop fluency with addition and subtraction facts to 20 | using partitioning to develop and record facts systematically"
AC9M2A03,Mathematics,Year 2,Algebra,recall and demonstrate proficiency with multiplication facts for twos; extend and apply facts to develop the related division facts using doubling and halving,"recognising and relating terms such as double, twice and multiply by 2, halve and divide by 2 | doubling and halving collections to practise and develop fluency with multiplication and division facts for twos | establishing an understanding of doubles and near doubles using physical or virtual manipulatives"
AC9M2M01,Mathematics,Year 2,Measurement,"measure and compare objects based on length, capacity and mass using appropriate uniform informal units and smaller units for accuracy when necessary","choosing suitable informal units to measure the length of a range of objects | comparing the capacity of several containers using sand and units such as a spoon or cup | using balance scales to compare the mass of several objects, selecting an appropriate informal unit | recognising that the same informal unit needs to be used when measuring"
AC9M2M02,Mathematics,Year 2,Measurement,"identify common uses and represent halves, quarters and eighths in relation to shapes, objects and events","demonstrating how food items can be cut in halves, quarters or eighths | investigating cup and spoon measures used in cooking and discussing what half or quarter of a cup measure means | demonstrating and using halves and quarters in folding activities | recognising that halves and quarters can be used to describe lengths, positions and distances | recognising and using half or quarter of an hour to describe a duration of time"
AC9M2M03,Mathematics,Year 2,Measurement,identify the date and determine the number of days between events using calendars,"using calendars to locate specific dates and identify what day it is, to determine the date 2 weeks prior to or after a given date | creating a class calendar to enter specific dates relevant to the class | using addition and a calendar to model and solve the problem 'How many days there are left in this year?' | identifying and locating specific days or dates on a calendar"
AC9M2M04,Mathematics,Year 2,Measurement,"recognise and read the time represented on an analog clock to the hour, half-hour and quarter-hour","creating an analog clock from a paper plate, showing the placement of the numbers and the 2 hands | recognising and describing the relationship between the movement of the hands on an analog clock and the duration of time it represents | dividing a clockface into halves and quarters, and connecting the subdivisions with telling the time to the half and quarter hour"
AC9M2M05,Mathematics,Year 2,Measurement,"identify, describe and demonstrate quarter, half, three-quarter and full measures of turn in everyday situations","identifying things that turn in the school environment | giving and following instructions to move during an activity, demonstrating and describing half, quarter and full turns | investigating hands turning on a clock and relating quarter, half and full hours to angles | giving or following directions to locate an object in the room, referring to quarter, half, three-quarter and full turns"
AC9M2SP01,Mathematics,Year 2,Space,"recognise, compare and classify shapes, referencing the number of sides and using spatial terms such as 'opposite', 'parallel', 'curved' and 'straight'","sorting a collection of shapes in different ways based on their features such as number of sides, whether all sides are equal, whether pairs of opposite sides are parallel | manipulating shapes and recognising that different orientations do not change the shape | investigating the shapes of different sporting fields | creating regular shapes using digital tools"
AC9M2SP02,Mathematics,Year 2,Space,locate positions in two-dimensional representations of a familiar space; move positions by following directions and pathways,interpreting maps of familiar places and identifying the position of key features | using a classroom seating plan to locate a new seating position | following and creating movement instructions to move through a grid | moving around a two-dimensional maze using directional language
AC9M2ST01,Mathematics,Year 2,Statistics,"acquire data for categorical variables through surveys, observation, experiment and using digital tools; sort data into relevant categories and display data using lists and tables",posing a question of interest about favourite things and recording responses using a table | investigating questions about rubbish categories | using familiar software to construct a survey to collect class data | observing events and using the observations to design a table or list to record data
AC9M2ST02,Mathematics,Year 2,Statistics,"create different graphical representations of data using software where appropriate; compare the different representations, identify and describe common and distinctive features in response to questions","collecting data from a limited list of choices, creating 2 different graphical representations | creating different data displays such as lists, tally charts, column graphs and picture graphs | using digital tools to create picture graphs | comparing picture graphs with one-to-one column graphs of the same data"
AC9M3N01,Mathematics,Year 3,Number,"recognise, represent and order natural numbers using naming and writing conventions for numerals beyond 10 000","moving materials from one place to another on a place value model to show renaming of numbers | using the repeating pattern of place value names and spaces within sets of 3 digits to name and write larger numbers | predicting and naming the number that is one more than 99, 109, 199, 1009 ... | comparing the Hindu-Arabic numeral system to other numeral systems"
AC9M3N02,Mathematics,Year 3,Number,"recognise and represent unit fractions including 1/2, 1/3, 1/4, 1/5 and 1/10 and their multiples in different ways; combine fractions with the same denominator to complete the whole","recognising that unit fractions represent equal parts of a whole | representing unit fractions and their multiples in different ways using a Think Board | cutting objects such as oranges, sandwiches or playdough into halves, quarters or fifths and reassembling them | sharing collections of objects between 3, 4 and 5 people and connecting division with fractions"
AC9M3N03,Mathematics,Year 3,Number,"add and subtract two- and three-digit numbers using place value to partition, rearrange and regroup numbers to assist in calculations without a calculator",using partitioning and part-part-whole models and the inverse relationship between addition and subtraction | using physical or virtual grouped materials or diagrams to make proportional models of numbers to assist in calculations | choosing between standard and non-standard place value partitions | solving subtraction problems efficiently by adding or subtracting a constant amount to both numbers
AC9M3N04,Mathematics,Year 3,Number,"multiply and divide one- and two-digit numbers, representing problems using number sentences, diagrams and arrays, and using a variety of calculation strategies",applying knowledge of numbers and the properties of operations using a variety of ways to represent multiplication or division number sentences | using part-part-whole and comparative models to visually represent multiplicative relationships | matching or creating a problem scenario that can be represented by a given number sentence involving multiplication and division
AC9M3N05,Mathematics,Year 3,Number,estimate the quantity of objects in collections and make estimates when solving problems to determine the reasonableness of calculations,estimating how much space a grid paper representation of a large number will take up | estimating the number of people in a large gathering using known numbers | choosing which place value they would estimate to for different situations | checking the reasonableness of an addition calculation by estimating
AC9M3N06,Mathematics,Year 3,Number,"use mathematical modelling to solve practical problems involving additive and multiplicative situations including financial contexts; formulate problems using number sentences and choose calculation strategies, using digital tools where appropriate; interpret and communicate solutions in terms of the situation","modelling practical additive situations, choosing whether to use addition, subtraction or both | modelling additive problems using a bar model | modelling practical multiplicative situations using materials or a diagram | modelling practical division problems involving unknown numbers of groups or finding how much is in each group"
AC9M3N07,Mathematics,Year 3,Number,follow and create algorithms involving a sequence of steps and decisions to investigate numbers; describe any emerging patterns,"following or creating an algorithm to generate number patterns formed by doubling and halving | following or creating an algorithm that determines whether a given number is a multiple of 2, 5 or 10 | creating an algorithm as a set of instructions that a classmate can follow to generate multiples of 3 | creating a sorting algorithm that will sort a collection of 5 cent and 10 cent coins"
AC9M3A01,Mathematics,Year 3,Algebra,"recognise and explain the connection between addition and subtraction as inverse operations, apply to partition numbers and find unknown values in number sentences","partitioning numbers using materials, part-part-whole diagrams or bar models, and recording addition and subtraction facts for each representation | using the inverse relationship between addition and subtraction to find unknown values with a calculator | exploring First Nations Australians' stories and dances that show the connection between addition and subtraction"
AC9M3A02,Mathematics,Year 3,Algebra,extend and apply knowledge of addition and subtraction facts to 20 to develop efficient mental strategies for computation with larger numbers without a calculator,partitioning using materials and part-part-whole diagrams to develop subtraction facts related to addition facts | using partitioning to develop and record facts systematically | understanding basic addition and related subtraction facts and using extensions to these facts
AC9M3A03,Mathematics,Year 3,Algebra,"recall and demonstrate proficiency with multiplication facts for 3, 4, 5 and 10; extend and apply facts to develop the related division facts","using concrete or virtual materials, groups and repeated addition to recognise patterns and establish the 3, 4, 5 and 10 multiplication facts | recognising that when they multiply a number by 5, the resulting number will either end in a 5 or a zero | practising calculating and deriving multiplication facts for 3, 4, 5 and 10, explaining and recalling the patterns in them"
AC9M3M01,Mathematics,Year 3,Measurement,identify which metric units are used to measure everyday items; use measurements of familiar items and known units to make estimates,"examining the packaging on supermarket items to determine the metric unit | identifying items that have a mass of one kilogram or 500 grams, or a capacity of one litre or 500 millilitres and using these benchmarks to estimate | estimating the height of a tree by comparing it to the height of their friend | choosing and using metres to estimate the dimensions of the classroom"
AC9M3M02,Mathematics,Year 3,Measurement,"measure and compare objects using familiar metric units of length, mass and capacity, and instruments with labelled markings",making a measuring tape using metric units of length | using a strip of centimetre grid paper to measure and compare the length of objects | discussing how the capacity of a container usually refers to the amount of liquid it can hold | measuring and comparing the mass of objects and capacity of containers using measuring jugs and kitchen scales
AC9M3M03,Mathematics,Year 3,Measurement,"recognise and use the relationship between formal units of time including days, hours, minutes and seconds to estimate and compare the duration of events",estimating how long it would take to read a set passage of text | planning a sequence of events based on estimates of the duration of each event | reading or setting the time on digital devices to the minute or second | using sand timers and digital timers to measure and check estimates of short durations of time
AC9M3M04,Mathematics,Year 3,Measurement,"describe the relationship between the hours and minutes on analog and digital clocks, and read the time to the nearest minute","representing and reading the time on an analog clock using the markings and the positions of the hands | reading and connecting analog and digital time, interpreting times, recognising and using the language of time | reading analog clocks throughout the day, and noticing and connecting the position of the hour hand and the distance the minute hand has travelled"
AC9M3M05,Mathematics,Year 3,Measurement,identify angles as measures of turn and compare angles with right angles in everyday situations,"using quarter, half and three-quarter turns and comparing them to a right angle | recognising that right angles occur at the corners of many everyday objects | identifying angles that are bigger than, smaller than and the same as a right angle in the environment"
AC9M3M06,Mathematics,Year 3,Measurement,recognise the relationships between dollars and cents and represent money values in different ways,"investigating the relationship between dollars and cents, using physical or virtual materials to make different combinations of the same amount of money | representing money amounts in different ways using knowledge of part-part-whole relationships | representing money values in multiple ways when role-playing money transactions"
AC9M3SP01,Mathematics,Year 3,Space,"make, compare and classify objects, identifying key features and explaining why these features make them suited to their uses","classifying a collection of geometric objects including cylinders, spheres, prisms and pyramids according to key features | making and comparing objects built out of cubic blocks | making geometric objects in solid form out of connecting cubes, in skeleton form with straws, and constructing objects using dynamic geometric software"
AC9M3SP02,Mathematics,Year 3,Space,"interpret and create two-dimensional representations of familiar environments, locating key landmarks and objects relative to each other",designing the layout of a space using a blank sheet of paper as the boundary | locating themselves within a space guided by a simple hand-held plan | sketching a map within the classroom indicating where they have hidden an object | exploring land maps or cultural maps used by First Nations Australians
AC9M3ST01,Mathematics,Year 3,Statistics,"acquire data for categorical and discrete numerical variables to address a question of interest or purpose by observing, collecting and accessing data sets; record the data using appropriate methods including frequency tables and spreadsheets","using efficient ways to collect and record data | developing questions of interest and using surveys, observations or experiments to collect data sets | using lists, tallies, symbols and digital data tables to record and display data | using different online sources to access data"
AC9M3ST02,Mathematics,Year 3,Statistics,create and compare different graphical representations of data sets including using software where appropriate; interpret the data in terms of the context,comparing various student-generated data representations and describing their similarities and differences | using digital tools and graphing software to construct graphs | selecting appropriate formats or layout styles to present data as information | using newspapers or magazines to find examples of different displays of data
AC9M3ST03,Mathematics,Year 3,Statistics,"conduct guided statistical investigations involving the collection, representation and interpretation of data for categorical and discrete numerical variables with respect to questions of interest","creating a poster, flowchart or infographic that describes the process of statistical investigation | collaboratively working through a whole class investigation | planning and carrying out investigations that involve collecting data | conducting a whole class statistical investigation"
AC9M3P01,Mathematics,Year 3,Probability,identify practical activities and everyday events involving chance; describe possible outcomes and events as 'likely' or 'unlikely' and identify some events as 'certain' or 'impossible' explaining reasoning,predicting what could happen next in practical activities that involve an element of chance | classifying a list of everyday events according to how likely they are to happen | making predictions and testing what would happen in repeated trials
AC9M3P02,Mathematics,Year 3,Probability,"conduct repeated chance experiments; identify and describe possible outcomes, record the results, recognise and discuss the variation","identifying the possible outcomes of a chance experiment, creating a tally chart to record results | carrying out a few trials, and tallying the results for each trial | conducting repeated trials of chance experiments such as tossing a coin, throwing a dice, drawing a coloured ball from a bag"
AC9M4N01,Mathematics,Year 4,Number,recognise and extend the application of place value to tenths and hundredths and use the conventions of decimal notation to name and represent decimals,"using a bar to represent the whole, dividing it into 10 equal pieces with each piece representing 0.1 or a tenth | using materials to show the multiplicative relationship between the whole, tenths and hundredths | recognising that one is the same as ten-tenths and one-tenth is the same as 10 hundredths | making models of measurement attributes to show the relationship between the base unit and parts of the unit"
AC9M4N02,Mathematics,Year 4,Number,explain and use the properties of odd and even numbers,"identifying even numbers and explaining why all numbers that end in the digits 0, 2, 4, 6, and 8 are even | explaining why some materials can be shared evenly between 2 people without leaving a remainder | explaining the patterns involved in adding, subtracting and multiplying odd and even numbers"
AC9M4N03,Mathematics,Year 4,Number,find equivalent representations of fractions using related denominators and make connections between fractions and decimal notation,extending fraction families within collections of materials | creating models of equivalent fractions by subdividing capacity measures into smaller fractions | folding paper to show equivalence between different fractions | identifying and using the connection between fractions of metres and decimals
AC9M4N04,Mathematics,Year 4,Number,count by fractions including mixed numerals; locate and represent these fractions as numbers on number lines,cutting objects such as oranges or sandwiches into quarters and counting by quarters | subdividing the sections between whole numbers on parallel number lines | converting mixed numerals into improper fractions and vice versa | using a number line to represent and count in tenths
AC9M4N05,Mathematics,Year 4,Number,"solve problems involving multiplying or dividing natural numbers by multiples and powers of 10 without a calculator, using the multiplicative relationship between the place value of digits","using physical or virtual materials to demonstrate the multiplicative relationship between the places | using materials such as place value charts or numeral expanders to recognise and explain why multiplying by 10 moves the digits one place to the left | using a calculator or other digital tools to recognise and develop an understanding of the effect of multiplying or dividing numbers by 10s, 100s and 1,000s"
AC9M4N06,Mathematics,Year 4,Number,"develop efficient strategies and use appropriate digital tools for solving problems involving addition and subtraction, and multiplication and division where there is no remainder",using and choosing efficient calculation strategies for addition and subtraction problems involving larger numbers | using physical or virtual materials to demonstrate doubling and halving strategies for solving multiplication problems | using an array to represent a multiplication problem | using materials or a diagram to solve a multiplication or division problem
AC9M4N07,Mathematics,Year 4,Number,choose and use estimation and rounding to check and explain the reasonableness of calculations including the results of financial transactions,using proficiency with basic facts to estimate the result of a calculation and say what amounts the answer will be between | using rounded amounts to complete an estimated budget | recognising the effect of rounding in addition and multiplication calculations
AC9M4N08,Mathematics,Year 4,Number,"use mathematical modelling to solve practical problems involving additive and multiplicative situations including financial contexts; formulate the problems using number sentences and choose efficient calculation strategies, using digital tools where appropriate; interpret and communicate solutions in terms of the situation",modelling and solving a range of practical additive problems using materials and bar models | modelling practical problems with division | modelling practical problems involving money such as a budget for a large event | modelling and solving multiplication problems involving money using efficient mental strategies
AC9M4N09,Mathematics,Year 4,Number,follow and create algorithms involving a sequence of steps and decisions that use addition or multiplication to generate sets of numbers; identify and describe any emerging patterns,creating an algorithm that will generate number sequences involving multiples of one to 10 using digital tools | creating a basic flow chart that represents an algorithm that will generate a sequence of numbers | using a multiplication formula in a spreadsheet and the 'fill down' function to generate a sequence of numbers
AC9M4A01,Mathematics,Year 4,Algebra,"find unknown values in numerical equations involving addition and subtraction, using the properties of numbers and operations","demonstrating the commutative properties of addition using materials, diagrams and number lines | using balance scales to create addition or subtraction number sentences showing equivalence | using relational thinking and knowledge of equivalent number sentences to explain whether equations involving addition or subtraction are true"
AC9M4A02,Mathematics,Year 4,Algebra,recall and demonstrate proficiency with multiplication facts up to 10 x 10 and related division facts; extend and apply facts to develop efficient mental strategies for computation with larger numbers without a calculator,"using arrays on grid paper or created with blocks or counters to develop, represent and explain patterns in the 10 x 10 multiplication facts | using materials or diagrams to develop and record multiplication strategies such as doubling, halving and commutativity | using known multiplication facts for 2, 3, 5 and 10 to establish multiplication facts for 4, 6, 7, 8 and 9"
AC9M4M01,Mathematics,Year 4,Measurement,"interpret unmarked and partial units when measuring and comparing attributes of length, mass, capacity, duration and temperature, using scaled and digital instruments and appropriate units","reading the mass of objects measured with digital and analog kitchen scales | deciding on which attribute, unit and measuring instrument to use to compare different things | using scaled instruments such as tape measures, measuring jugs, kitchen scales and thermometers | reading and interpreting the scale of an analog clock without marked minutes"
AC9M4M02,Mathematics,Year 4,Measurement,"recognise ways of measuring and approximating the perimeter and area of shapes and enclosed spaces, using appropriate formal and informal units",recognising that perimeter is the sum of the lengths that form the boundary of a shape | creating a range of rectangles representing 'paddocks' on grid paper | recognising that area is the space enclosed by the boundary of a shape | demonstrating how to use one unit repeatedly to measure the area of a shape
AC9M4M03,Mathematics,Year 4,Measurement,solve problems involving the duration of time including situations involving 'am' and 'pm' and conversions between units of time,"calculating the amount of time between 2 events including cases where the starting and finishing times are written using 'am' and 'pm' notation | converting units of time using relationships between units, such as 60 minutes in an hour | exploring First Nations Australians' explanations of the passing of time through cultural accounts about cyclic phenomena"
AC9M4M04,Mathematics,Year 4,Measurement,"estimate and compare angles using angle names including acute, obtuse, straight angle, reflex and revolution, and recognise their relationship to a right angle","classifying the interior angles of a range of shapes using examples of angles to identify acute, obtuse, right and reflex angles | identifying angles within the environment and estimating whether they are acute, obtuse, right or reflex | creating a right-angle template using cardboard and using it to compare angles in the environment"
AC9M4SP01,Mathematics,Year 4,Space,"represent and approximate composite shapes and objects in the environment, using combinations of familiar shapes and objects",identifying common shapes that form part of a composite shape by re-creating these shapes | using cubes to make three-dimensional models that approximate real objects | approximating complex shapes and objects in the environment with familiar shapes and objects | recognising how familiar shapes and objects are used in logos and other graphics
AC9M4SP02,Mathematics,Year 4,Space,create and interpret grid reference systems using grid references and directions to locate and describe positions and pathways,"interpreting a grid reference map of a familiar location of interest | recognising that a spreadsheet uses a grid reference system | comparing and contrasting, describing and locating landmarks in a bird's eye picture | using different sized grids as a tool to enlarge an image or artwork"
AC9M4SP03,Mathematics,Year 4,Space,"recognise line and rotational symmetry of shapes and create symmetrical patterns and pictures, using dynamic geometric software where appropriate",identifying rotational symmetry of shapes by tracing around various shapes and objects to create an image | using dynamic geometric software to manipulate shapes and create symmetrical patterns | using stimulus materials such as Central Asian textiles and Islamic artwork to investigate line and rotational symmetry
