Year level,Strand,Sub-strand,Content code,Content description,Elaboration,Tags,Linked Achievement IDs
Foundation,Language,Language for expressing and developing ideas,AC9EFLA07,explore the contribution of images and words to meaning in stories and informative texts,identifying where written text is reflected in accompanying images and where written text is not captured in images,Text structure,"Prep-AS-1020, Prep-AS-4200, Prep-AS-8043, Prep-AS-9779"
Foundation,Language,Language for expressing and developing ideas,AC9EFLA08,"recognise and develop awareness of vocabulary used in familiar contexts related to everyday experiences, personal interests and topics taught at school","identifying learning area–specific words when learning new topics or engaging in imaginative play; for example, role-playing a shopkeeper and a customer",Other,"Prep-AS-1683, Prep-AS-6288, Prep-AS-8043, Prep-AS-9779"
Foundation,Language,Language for expressing and developing ideas,AC9EFLA08,"recognise and develop awareness of vocabulary used in familiar contexts related to everyday experiences, personal interests and topics taught at school","identifying words for a topic studied at school; for example, words relevant to the topic of families",Other,"Prep-AS-1683, Prep-AS-6288, Prep-AS-8043, Prep-AS-9779"
Foundation,Language,Language for expressing and developing ideas,AC9EFLA08,"recognise and develop awareness of vocabulary used in familiar contexts related to everyday experiences, personal interests and topics taught at school","expanding vocabulary through informal interactions and planned experiences with adults and peers, texts, images, and artefacts or objects",Text structure,"Prep-AS-1683, Prep-AS-6288, Prep-AS-8043, Prep-AS-9779"
Foundation,Language,Language for expressing and developing ideas,AC9EFLA09,"identify punctuation as a feature of written text different from letters; recognise that capital letters are used for names, and that capital letters also signal the beginning of sentences while punctuation marks signal the end","commenting on capital letters encountered in everyday texts; for example, “That’s the letter that starts my name.” “The name of my family and my town have capital letters.”",Text structure,"Prep-AS-4505, Prep-AS-9779"
Foundation,Literature,Literature and contexts,AC9EFLE01,"share ideas about stories, poems and images in literature, reflecting on experiences that are similar or different to their own by engaging with texts by First Nations Australian, and wide-ranging Australian and world authors and illustrators",engaging with texts that reflect the social and cultural groups to which students belong,Text structure,"Prep-AS-6759, Prep-AS-8043"
Foundation,Literature,Literature and contexts,AC9EFLE01,"share ideas about stories, poems and images in literature, reflecting on experiences that are similar or different to their own by engaging with texts by First Nations Australian, and wide-ranging Australian and world authors and illustrators",comparing experiences depicted in stories by wide-ranging world authors with own experiences,Other,"Prep-AS-6759, Prep-AS-8043"
Foundation,Literature,Literature and contexts,AC9EFLE01,"share ideas about stories, poems and images in literature, reflecting on experiences that are similar or different to their own by engaging with texts by First Nations Australian, and wide-ranging Australian and world authors and illustrators","viewing stories by First Nations Australian storytellers from print, visual, digital and multimodal sources",Other,"Prep-AS-6759, Prep-AS-8043"
Foundation,Literature,Literature and contexts,AC9EFLE01,"share ideas about stories, poems and images in literature, reflecting on experiences that are similar or different to their own by engaging with texts by First Nations Australian, and wide-ranging Australian and world authors and illustrators","engaging with texts that portray Australian family life in different settings across Australia; for example, suburban and remote settings",Text structure,"Prep-AS-6759, Prep-AS-8043"
Foundation,Literature,Literature and contexts,AC9EFLE01,"share ideas about stories, poems and images in literature, reflecting on experiences that are similar or different to their own by engaging with texts by First Nations Australian, and wide-ranging Australian and world authors and illustrators","identifying some features of culture that are revealed by characters and events in stories; for example, dress, food and daily routines",Other,"Prep-AS-6759, Prep-AS-8043"
Foundation,Literature,Engaging with and responding to literature,AC9EFLE02,respond to stories and share feelings and thoughts about their events and characters,"using drawing and beginning forms of writing to express personal responses to stories, poems or films",Other,"Prep-AS-4200, Prep-AS-6759, Prep-AS-8043"
Foundation,Literature,Engaging with and responding to literature,AC9EFLE02,respond to stories and share feelings and thoughts about their events and characters,"discussing events and characters in texts, and connecting them to their own experiences",Text structure,"Prep-AS-4200, Prep-AS-6759, Prep-AS-8043"
Foundation,Literature,Examining literature,AC9EFLE03,"recognise different types of literary texts and identify features including events, characters, and beginnings and endings","recognising that stories often have similar beginnings; for example, “Once upon a time”, “A long, long time ago” in fairytales or introducing the character: “A girl called Amira …”",Other,"Prep-AS-8043, Prep-AS-9779"
Foundation,Literature,Examining literature,AC9EFLE03,"recognise different types of literary texts and identify features including events, characters, and beginnings and endings",exploring literature by First Nations Australian authors and their cultural patterns of storytelling,Other,"Prep-AS-8043, Prep-AS-9779"
Foundation,Literature,Examining literature,AC9EFLE03,"recognise different types of literary texts and identify features including events, characters, and beginnings and endings",identifying how stories are told in poetry,Other,"Prep-AS-8043, Prep-AS-9779"
Foundation,Literature,Examining literature,AC9EFLE03,"recognise different types of literary texts and identify features including events, characters, and beginnings and endings",identifying typical features of fairytales such as princes and princesses or the moral of the story,Other,"Prep-AS-8043, Prep-AS-9779"
Foundation,Literature,Examining literature,AC9EFLE04,"explore and replicate the rhythms and sound patterns of literary texts such as poems, rhymes and songs","using music and actions to enhance appreciation of rhymes, poems, chants and songs",Other,"Prep-AS-3220, Prep-AS-6288"
Foundation,Literature,Examining literature,AC9EFLE04,"explore and replicate the rhythms and sound patterns of literary texts such as poems, rhymes and songs",reciting rhymes with actions,Other,"Prep-AS-3220, Prep-AS-6288"
Foundation,Literature,Examining literature,AC9EFLE04,"explore and replicate the rhythms and sound patterns of literary texts such as poems, rhymes and songs",exploring rhythms used in poems by First Nations Australians,Other,"Prep-AS-3220, Prep-AS-6288"
Foundation,Literature,Creating literature,AC9EFLE05,"retell and adapt familiar literary texts through play, performance, images or writing",drawing and role-playing characters or events,Other,"Prep-AS-1020, Prep-AS-4200, Prep-AS-4617"
Foundation,Literature,Creating literature,AC9EFLE05,"retell and adapt familiar literary texts through play, performance, images or writing","sequencing pictures, which may involve using digital tools, to retell a story",Other,"Prep-AS-1020, Prep-AS-4200, Prep-AS-4617"
Foundation,Literacy,Texts in context,AC9EFLY01,"identify some familiar texts, such as stories and informative texts, and their purpose","recognising symbols in everyday environments and discussing why they are used; for example, exit signs, school crossing signs, emblems or badges on school uniforms",Other,"Prep-AS-8043, Prep-AS-9779"
Foundation,Literacy,Texts in context,AC9EFLY01,"identify some familiar texts, such as stories and informative texts, and their purpose",using book covers to group imaginative and informative texts,Text structure,"Prep-AS-8043, Prep-AS-9779"
Foundation,Literacy,Texts in context,AC9EFLY01,"identify some familiar texts, such as stories and informative texts, and their purpose","grouping texts according to topic; for example, grouping a set of texts, which may include informative and imaginative texts, about farm animals",Text structure,"Prep-AS-8043, Prep-AS-9779"
Foundation,Literacy,Interacting with others,AC9EFLY02,interact in informal and structured situations by listening while others speak and using features of voice including volume levels,"exchanging ideas with peers in pairs and small groups, engaging in class discussions, listening to others and contributing ideas",Other,"Prep-AS-4617, Prep-AS-6759"
Foundation,Literacy,Interacting with others,AC9EFLY02,interact in informal and structured situations by listening while others speak and using features of voice including volume levels,"showing understanding of appropriate listening behaviour, such as listening without interrupting, and looking at the speaker, if culturally appropriate",Comprehension,"Prep-AS-4617, Prep-AS-6759"
Foundation,Literacy,Interacting with others,AC9EFLY02,interact in informal and structured situations by listening while others speak and using features of voice including volume levels,altering volume for inside and outside situations and when speaking to an audience,Other,"Prep-AS-4617, Prep-AS-6759"
Foundation,Literacy,Interacting with others,AC9EFLY02,interact in informal and structured situations by listening while others speak and using features of voice including volume levels,"participating in informal interaction situations; for example, play-based experiences that involve the imaginative use of spoken language",Other,"Prep-AS-4617, Prep-AS-6759"
Foundation,Literacy,Interacting with others,AC9EFLY02,interact in informal and structured situations by listening while others speak and using features of voice including volume levels,listening to and following instructions,Other,"Prep-AS-4617, Prep-AS-6759"
Foundation,Literacy,"Analysing, interpreting and evaluating",AC9EFLY03,identify some differences between imaginative and informative texts,talking about what is “real” and what is imagined in texts,Text structure,"Prep-AS-8043, Prep-AS-9779"
Foundation,Literacy,"Analysing, interpreting and evaluating",AC9EFLY03,identify some differences between imaginative and informative texts,identifying and selecting texts for information purposes and commenting on how the text might help with a task,Text structure,"Prep-AS-8043, Prep-AS-9779"
Foundation,Literacy,"Analysing, interpreting and evaluating",AC9EFLY03,identify some differences between imaginative and informative texts,comparing images in imaginative texts with images in informative texts,Text structure,"Prep-AS-8043, Prep-AS-9779"
Foundation,Literacy,"Analysing, interpreting and evaluating",AC9EFLY04,"read decodable and authentic texts using developing phonic knowledge, and monitor meaning using context and emerging grammatical knowledge","navigating a text correctly, starting at the right place and reading in the right direction, returning to the next line as needed and matching one spoken word to one written word","Comprehension, Text structure",Prep-AS-8043
Foundation,Literacy,"Analysing, interpreting and evaluating",AC9EFLY04,"read decodable and authentic texts using developing phonic knowledge, and monitor meaning using context and emerging grammatical knowledge",attempting to work out unknown words by using phonic decoding and knowledge of high-frequency words,Other,Prep-AS-8043
Foundation,Literacy,"Analysing, interpreting and evaluating",AC9EFLY04,"read decodable and authentic texts using developing phonic knowledge, and monitor meaning using context and emerging grammatical knowledge",pausing or asking for support when meaning breaks down,Other,Prep-AS-8043
Foundation,Literacy,"Analysing, interpreting and evaluating",AC9EFLY05,"use comprehension strategies such as visualising, predicting, connecting, summarising and questioning to understand and discuss texts listened to, viewed or read independently","sequencing ideas in spoken texts, retelling well-known stories, retelling stories with picture cues, retelling information using prompts",Text structure,"Prep-AS-4617, Prep-AS-8043"
Foundation,Literacy,"Analysing, interpreting and evaluating",AC9EFLY05,"use comprehension strategies such as visualising, predicting, connecting, summarising and questioning to understand and discuss texts listened to, viewed or read independently","listening for specific purposes; for example, details of a character or to answer a given question",Other,"Prep-AS-4617, Prep-AS-8043"
Foundation,Literacy,"Analysing, interpreting and evaluating",AC9EFLY05,"use comprehension strategies such as visualising, predicting, connecting, summarising and questioning to understand and discuss texts listened to, viewed or read independently",relating one or two key facts from informative texts,Text structure,"Prep-AS-4617, Prep-AS-8043"
Foundation,Literacy,"Analysing, interpreting and evaluating",AC9EFLY05,"use comprehension strategies such as visualising, predicting, connecting, summarising and questioning to understand and discuss texts listened to, viewed or read independently",retelling events from First Nations Australians’ stories and cultural accounts in sequence,Other,"Prep-AS-4617, Prep-AS-8043"
Foundation,Literacy,"Analysing, interpreting and evaluating",AC9EFLY05,"use comprehension strategies such as visualising, predicting, connecting, summarising and questioning to understand and discuss texts listened to, viewed or read independently",predicting what might happen in a text based on the title and cover,"Comprehension, Text structure","Prep-AS-4617, Prep-AS-8043"
Foundation,Literacy,Creating texts,AC9EFLY06,"create and participate in shared editing of short written texts to record and report ideas and events using some learnt vocabulary, basic sentence boundary punctuation and spelling some consonant–vowel–consonant words correctly","using beginning writing knowledge, sound–letter relationships, known words and punctuation to create short texts","Phonics, Grammar, Text structure","Prep-AS-1020, Prep-AS-1683, Prep-AS-4200, Prep-AS-4505"
Foundation,Literacy,Creating texts,AC9EFLY06,"create and participate in shared editing of short written texts to record and report ideas and events using some learnt vocabulary, basic sentence boundary punctuation and spelling some consonant–vowel–consonant words correctly","using writing and drawing, which may include digital tools, to represent and communicate personal responses to ideas and events experienced through texts",Text structure,"Prep-AS-1020, Prep-AS-1683, Prep-AS-4200, Prep-AS-4505"
Foundation,Literacy,Creating texts,AC9EFLY06,"create and participate in shared editing of short written texts to record and report ideas and events using some learnt vocabulary, basic sentence boundary punctuation and spelling some consonant–vowel–consonant words correctly",“reading” their own texts back to an experienced writer,"Comprehension, Text structure","Prep-AS-1020, Prep-AS-1683, Prep-AS-4200, Prep-AS-4505"
Foundation,Literacy,Creating texts,AC9EFLY06,"create and participate in shared editing of short written texts to record and report ideas and events using some learnt vocabulary, basic sentence boundary punctuation and spelling some consonant–vowel–consonant words correctly",participating in shared editing by circling the capital letters at the beginning of sentences,Grammar,"Prep-AS-1020, Prep-AS-1683, Prep-AS-4200, Prep-AS-4505"
Foundation,Literacy,Creating texts,AC9EFLY07,"create and deliver short spoken texts to report ideas and events to peers, using features of voice such as appropriate volume","sharing a personal experience, interest or discovery with peers in a semi-formal situation",Other,"Prep-AS-4617, Prep-AS-6759"
Foundation,Literacy,Creating texts,AC9EFLY07,"create and deliver short spoken texts to report ideas and events to peers, using features of voice such as appropriate volume",sharing personal responses to ideas and events experienced through texts,Text structure,"Prep-AS-4617, Prep-AS-6759"
Foundation,Literacy,Creating texts,AC9EFLY07,"create and deliver short spoken texts to report ideas and events to peers, using features of voice such as appropriate volume",using visual prompts to practise staying on topic or to sequence ideas,Other,"Prep-AS-4617, Prep-AS-6759"
Foundation,Literacy,Creating texts,AC9EFLY08,form most lower-case and upper-case letters using learnt letter formations,"following clear demonstrations of how to construct each letter; for example, where to start and in which direction to write",Other,Prep-AS-4505
Foundation,Literacy,Creating texts,AC9EFLY08,form most lower-case and upper-case letters using learnt letter formations,developing a functional pencil grip/grasp,Other,Prep-AS-4505
Foundation,Literacy,Phonic and word knowledge,AC9EFLY09,"recognise and generate rhyming words, alliteration patterns, syllables and sounds (phonemes) in spoken words (phonological awareness)","recognising and producing rhyming words when listening to rhyming stories or rhymes; for example, “funny” and “money”",Other,"Prep-AS-3220, Prep-AS-6288"
Foundation,Literacy,Phonic and word knowledge,AC9EFLY09,"recognise and generate rhyming words, alliteration patterns, syllables and sounds (phonemes) in spoken words (phonological awareness)","identifying patterns of alliteration in spoken words; for example, “helpful Henry”",Other,"Prep-AS-3220, Prep-AS-6288"
Foundation,Literacy,Phonic and word knowledge,AC9EFLY09,"recognise and generate rhyming words, alliteration patterns, syllables and sounds (phonemes) in spoken words (phonological awareness)","identifying syllables in spoken words; for example, clapping the rhythm of “Mon-day”, “Ja-cob” or “Si-en-na”",Other,"Prep-AS-3220, Prep-AS-6288"
Foundation,Literacy,Phonic and word knowledge,AC9EFLY10,"segment sentences into individual words; orally blend and segment single-syllable spoken words; isolate, blend and manipulate phonemes in single-syllable words (phonological awareness)","saying the sounds when given a word; for example, “can” (“c-a-n”) or “ship” (“sh-i-p”)",Phonics,Prep-AS-857
Foundation,Literacy,Phonic and word knowledge,AC9EFLY10,"segment sentences into individual words; orally blend and segment single-syllable spoken words; isolate, blend and manipulate phonemes in single-syllable words (phonological awareness)","saying the word when given the sounds; for example, “l-i-p” (“lip”) or “m-u-n-ch” (“munch”)",Phonics,Prep-AS-857
Foundation,Literacy,Phonic and word knowledge,AC9EFLY10,"segment sentences into individual words; orally blend and segment single-syllable spoken words; isolate, blend and manipulate phonemes in single-syllable words (phonological awareness)","saying the new word when the beginning phoneme/medial/end phoneme in a word is replaced with a different phoneme; for example, “run” becomes “fun”, or “fun” becomes “fan”",Phonics,Prep-AS-857
Foundation,Literacy,Phonic and word knowledge,AC9EFLY11,recognise and name all upper- and lower-case letters (graphs) and know the most common sound that each letter represents,recognising letters in own name,Other,"Prep-AS-4930, Year3-AS-1436"
Foundation,Literacy,Phonic and word knowledge,AC9EFLY11,recognise and name all upper- and lower-case letters (graphs) and know the most common sound that each letter represents,matching upper- and lower-case letters,Other,"Prep-AS-4930, Year3-AS-1436"
Foundation,Literacy,Phonic and word knowledge,AC9EFLY11,recognise and name all upper- and lower-case letters (graphs) and know the most common sound that each letter represents,identifying sounds for upper- and lower-case letters,Phonics,"Prep-AS-4930, Year3-AS-1436"
Foundation,Literacy,Phonic and word knowledge,AC9EFLY13,use knowledge of letters and sounds to spell words,making plausible spelling choices using letter–sound correspondences and morphemic knowledge,Phonics,"Prep-AS-4505, Prep-AS-4930"
Foundation,Literacy,Phonic and word knowledge,AC9EFLY14,read and write some high-frequency words and other familiar words,"knowing how to read and write some high-frequency words recognised in shared texts and texts being read independently; for example, “and”, “my”, “is”, “the” and “go”","Comprehension, Text structure","Prep-AS-132, Prep-AS-4505"
Foundation,Literacy,Phonic and word knowledge,AC9EFLY14,read and write some high-frequency words and other familiar words,"knowing how to read and write some familiar words; for example, their name, the name of a character or the name of their school",Comprehension,"Prep-AS-132, Prep-AS-4505"
Foundation,Literacy,Phonic and word knowledge,AC9EFLY15,understand that words are units of meaning and can be made of more than one meaningful part,"learning that words are made up of meaningful parts; for example, “dogs” has 2 meaningful parts: “dog” and “s” meaning more than one",Other,Prep-AS-132
Year 1,Language,Language for interacting with others,AC9E1LA01,"understand how language, facial expressions and gestures are used to interact with others when asking for and providing information, making offers, exclaiming, requesting and giving commands","recognising the effects of words, signing, gestures and body language on the way communications are received by others",Other,Year1-AS-4833
Year 1,Language,Language for interacting with others,AC9E1LA01,"understand how language, facial expressions and gestures are used to interact with others when asking for and providing information, making offers, exclaiming, requesting and giving commands","understanding that symbols, gestures and body language are key components of communication in First Nations Australian communities",Comprehension,Year1-AS-4833
Year 1,Language,Language for interacting with others,AC9E1LA01,"understand how language, facial expressions and gestures are used to interact with others when asking for and providing information, making offers, exclaiming, requesting and giving commands",viewing short films and discussing how characters use words and body language to convey emotions,Other,Year1-AS-4833
Year 1,Language,Language for interacting with others,AC9E1LA01,"understand how language, facial expressions and gestures are used to interact with others when asking for and providing information, making offers, exclaiming, requesting and giving commands","learning the difference between closed questions; for example, “Are you ready?”, and open questions; for example, “What made this text so exciting?”","Comprehension, Text structure",Year1-AS-4833
Year 1,Language,Language for interacting with others,AC9E1LA02,"explore language to provide reasons for likes, dislikes and preferences","using words including “because” to introduce reasons for likes, dislikes and preferences",Other,"Year1-AS-8445, Year1-AS-8680"
Year 1,Language,Language for interacting with others,AC9E1LA02,"explore language to provide reasons for likes, dislikes and preferences","exploring comparative words (adjectives) to express the degree of preference; for example, “better”, “faster”",Grammar,"Year1-AS-8445, Year1-AS-8680"
Year 1,Language,Text structure and organisation,AC9E1LA03,"explore how texts are organised according to their purpose, such as to recount, narrate, express opinion, inform, report and explain",discussing and comparing the purposes and organisation of familiar texts,Text structure,"Year1-AS-721, Year1-AS-9042"
Year 1,Language,Text structure and organisation,AC9E1LA03,"explore how texts are organised according to their purpose, such as to recount, narrate, express opinion, inform, report and explain","becoming familiar with the typical stages of types of texts; for example, recount and procedure",Text structure,"Year1-AS-721, Year1-AS-9042"
Year 1,Language,Text structure and organisation,AC9E1LA03,"explore how texts are organised according to their purpose, such as to recount, narrate, express opinion, inform, report and explain","recognising that the structure of a text may include words and pictures; for example, an informative text may include words, illustrations and diagrams",Text structure,"Year1-AS-721, Year1-AS-9042"
Year 1,Language,Text structure and organisation,AC9E1LA04,"explore how repetition, rhyme and rhythm create cohesion in simple poems, chants and songs","identifying patterns of repetition in texts; for example, repetition of sentence patterns such as “Have you seen …”","Grammar, Text structure",Year1-AS-721
Year 1,Language,Text structure and organisation,AC9E1LA04,"explore how repetition, rhyme and rhythm create cohesion in simple poems, chants and songs","discussing different poems and identifying rhyme; for example, end of line rhyme",Other,Year1-AS-721
Year 1,Language,Text structure and organisation,AC9E1LA05,"understand how print and screen texts are organised using features such as page numbers, tables of content, headings and titles, navigation buttons, swipe screens, verbal commands, links and images","comparing the layout of print and digital texts; for example, the layout of print and images in an information book and the layout of information in an online text",Text structure,"Year1-AS-2, Year1-AS-721"
Year 1,Language,Language for expressing and developing ideas,AC9E1LA06,understand that a simple sentence consists of a single independent clause representing a single event or idea,"knowing that a single event or idea can include a process, a happening or a state (verb), the participant or who or what is involved (noun group/phrase), and the surrounding circumstances (adverb group/phrase); for example, “Teddy (participant: who or what is involved) read (process: a happening) the book (participant: who or what is involved) in the library (circumstance: where he read).”","Grammar, Comprehension","Year1-AS-6800, Year1-AS-721"
Year 1,Language,Language for expressing and developing ideas,AC9E1LA06,understand that a simple sentence consists of a single independent clause representing a single event or idea,"understanding that simple sentences answer questions such as, “what is happening?” and “who or what is involved?” along with details such as “where?”, “when?”, “how?”","Grammar, Comprehension","Year1-AS-6800, Year1-AS-721"
Year 1,Language,Language for expressing and developing ideas,AC9E1LA07,"understand that words can represent people, places and things (nouns, including pronouns), happenings and states (verbs), qualities (adjectives) and details such as when, where and how (adverbs)","understanding that words or groups of words can represent the participants (nouns; for example, people, places, things) that are involved in various activities or processes (verbs of doing, saying, thinking, being) and the details or circumstances surrounding the activity (adjectives and adverbs that answer “when?”, “where?”, “how?”)","Grammar, Comprehension","Year1-AS-6800, Year1-AS-721"
Year 1,Language,Language for expressing and developing ideas,AC9E1LA07,"understand that words can represent people, places and things (nouns, including pronouns), happenings and states (verbs), qualities (adjectives) and details such as when, where and how (adverbs)","recognising how a sentence can be made more specific by adding adjectives, adverbs and precise verbs",Grammar,"Year1-AS-6800, Year1-AS-721"
Year 1,Language,Language for expressing and developing ideas,AC9E1LA08,compare how images in different types of texts contribute to meaning,"comparing images from texts where images of the same subject are represented differently; for example, a cartoon image of an animal, a photograph of an animal and a digital image of an animal in an advertisement",Text structure,"Year1-AS-721, Year1-AS-9965"
Year 1,Language,Language for expressing and developing ideas,AC9E1LA08,compare how images in different types of texts contribute to meaning,understanding how authors and illustrators build up meaning across a sequence of images,Comprehension,"Year1-AS-721, Year1-AS-9965"
Year 1,Language,Language for expressing and developing ideas,AC9E1LA08,compare how images in different types of texts contribute to meaning,"understanding that some images convey meaning that is not included in the accompanying written text; for example, a diagram shows information about how parts of a plant are connected, which is not explained in the print text","Comprehension, Text structure","Year1-AS-721, Year1-AS-9965"
Year 1,Language,Language for expressing and developing ideas,AC9E1LA08,compare how images in different types of texts contribute to meaning,exploring images in stories and cultural accounts by First Nations Australian authors and discussing the impact this may have,Other,"Year1-AS-721, Year1-AS-9965"
Year 1,Language,Language for expressing and developing ideas,AC9E1LA09,recognise the vocabulary of learning area topics,using appropriate topic-specific vocabulary when discussing a learning area topic,Other,"Year1-AS-5660, Year1-AS-721, Year1-AS-8445, Year1-AS-9965"
Year 1,Language,Language for expressing and developing ideas,AC9E1LA09,recognise the vocabulary of learning area topics,using appropriate vocabulary for an Acknowledgement of Country at assemblies and other school events using protocols to recognise the Traditional Owners of Country or Place,Other,"Year1-AS-5660, Year1-AS-721, Year1-AS-8445, Year1-AS-9965"
Year 1,Language,Language for expressing and developing ideas,AC9E1LA09,recognise the vocabulary of learning area topics,"identifying words for topics studied at school; for example, vocabulary used for weather and seasons",Other,"Year1-AS-5660, Year1-AS-721, Year1-AS-8445, Year1-AS-9965"
Year 1,Language,Language for expressing and developing ideas,AC9E1LA10,"understand that written language uses punctuation such as full stops, question marks and exclamation marks, and uses capital letters for familiar proper nouns","using intonation and pauses in response to punctuation, when reading","Grammar, Comprehension","Year1-AS-4903, Year1-AS-6800, Year1-AS-721"
Year 1,Language,Language for expressing and developing ideas,AC9E1LA10,"understand that written language uses punctuation such as full stops, question marks and exclamation marks, and uses capital letters for familiar proper nouns","identifying different sentence boundary punctuation, when reading","Grammar, Comprehension","Year1-AS-4903, Year1-AS-6800, Year1-AS-721"
Year 1,Language,Language for expressing and developing ideas,AC9E1LA10,"understand that written language uses punctuation such as full stops, question marks and exclamation marks, and uses capital letters for familiar proper nouns","writing different types of sentences; for example, statements and questions, and discussing appropriate punctuation",Grammar,"Year1-AS-4903, Year1-AS-6800, Year1-AS-721"
Year 1,Language,Language for expressing and developing ideas,AC9E1LA10,"understand that written language uses punctuation such as full stops, question marks and exclamation marks, and uses capital letters for familiar proper nouns",identifying and using capital letters to name places and holidays,Other,"Year1-AS-4903, Year1-AS-6800, Year1-AS-721"
Year 1,Literature,Literature and contexts,AC9E1LE01,"discuss how language and images are used to create characters, settings and events in literature by First Nations Australian, and wide-ranging Australian and world authors and illustrators","discussing how animal characters reflect human characteristics; for example, the creation of animal characters and their human qualities in fables by wide-ranging world authors",Other,"Year1-AS-1357, Year1-AS-721, Year1-AS-8680, Year1-AS-9965"
Year 1,Literature,Literature and contexts,AC9E1LE01,"discuss how language and images are used to create characters, settings and events in literature by First Nations Australian, and wide-ranging Australian and world authors and illustrators","discussing how characters, settings and events are described or depicted in literature by First Nations Australian authors and illustrators",Other,"Year1-AS-1357, Year1-AS-721, Year1-AS-8680, Year1-AS-9965"
Year 1,Literature,Literature and contexts,AC9E1LE01,"discuss how language and images are used to create characters, settings and events in literature by First Nations Australian, and wide-ranging Australian and world authors and illustrators",discussing the events associated with Australian animal characters and what is learnt about their characters in picture books from wide-ranging Australian authors,Other,"Year1-AS-1357, Year1-AS-721, Year1-AS-8680, Year1-AS-9965"
Year 1,Literature,Engaging with and responding to literature,AC9E1LE02,discuss literary texts and share responses by making connections with students’ own experiences,"generating questions about characters, settings and events from books and sharing responses",Other,"Year1-AS-4833, Year1-AS-8680, Year1-AS-9042, Year1-AS-9965"
Year 1,Literature,Engaging with and responding to literature,AC9E1LE02,discuss literary texts and share responses by making connections with students’ own experiences,discussing different texts and offering opinions about how they reflect their own experiences,Text structure,"Year1-AS-4833, Year1-AS-8680, Year1-AS-9042, Year1-AS-9965"
